author_key,author_name,bio,birth_date,death_date,birth_year,death_year
OL1120447A,J. R. Ward,"Jessica Rowley Pell Bird was born on 1969 in Massachusetts, USA. She is the daughter of Maxine F. and W. Gillette Bird, Jr. She began writing as a child, penning her thoughts in diaries as well as inventing short stories. She read her first Harlequin Presents novel in a rose garden when she was in her teens. She was hooked immediately. By the time she went to college, she had boxes and boxes of Harlequins and Silhouettes. Every year, her mother would ask why all those books had to live in the house and Jess would reply that if even one of them disappeared she would know. (She'd catalogued them.)

Jess finished her first romance manuscript the summer before her freshman year of college. She attended Smith College and graduated with a double major in history and art history. She then received a law degree from Albany Law School. Shortly after that, she began working in the healthcare industry in Boston. She spent many years as one of the premier medical center’s Chief of Staff. While working as a lawyer in Boston, she completed two novels more and started a number of partials. In 2001, Bird married John Neville Blakemore III. Both her mother and her new husband kept telling her to send something in to an agent, a publisher, the Tooth Fairy, anyone. She thought they were nuts, but eventually got her nerve up and bought a lot of stamps. Since getting published, she has written contemporary romances as Jessica Bird and paranormal romances as J. R. Ward. She has been a Rita Award finalist, received two Romantic Times Reviewer's Choice nominations and has been a HOLT medallion finalist.

New England born and bred, Jess is surprised to find herself living south of the Mason Dixon line. (But that's what happens when you marry a Southern gentleman.) She and her husband live with their golden retriever, who oversees her writing in a supervisory role.",1969,,1969,
OL3319143A,Anne Mather,"Mildred Grieveson was born on October 10, 1946 in England. She had written all through her infant and junior years and on into her teens, the stories changing from children's adventures to torrid gypsy passions. Her mother used to gather these up from time to time, when her bedroom became too untidy, and dispose of them! 

Mildred has always wanted to write - which is not to say she has always wanted to be a professional writer. One the contrary, for years She wrote only for her own pleasure, and it wasn't until her husband suggested that She ought to send one of her stories to a publisher that they put several publishers names into a hat and pulled one out. The trouble was, She never used to finish any of the stories, and Caroline, her first published book as Anne Mather, was the first book she'd actually completed. She was newly married then, and her daughter was just a baby, and it was quite a job juggling her household chores and scribbling away in exercise books every chance She got. Not very professional, as you can see, but that's the way it was. The rest as they say in history. And now, more than 160 books later, She's literally - excuse the pun - staggered by what happened. She also published books as Caroline Fleming or Cardine Fleming. Her Anne Mather's novel, Leopard in the Snow, was developed into a 1978 movie. 

Mildred now has two grown-up children, a son and daughter, and two adorable grandchildren, Abigail and Ben.",1946-10-10,,1946,
OL7922247A,Lucy Score,,,,,
OL687900A,Jessica Steele,"Jessica Steele was born on May 9, 1933 in the elegant Warwickshire town of Royal Leamington Spa. She has two super brothers, Colin and George, and a lovely sister, Elizabeth. She was a delicate child and missed a lot of school. In fact, she left school at aged 14, when she was diagnosed as having tuberculosis. At 16, she started work as a junior clerk. In 1967, Jessica married with her husband, Peter and within a very short space of time they had moved from her hometown to the lovely area where they now live. Their house is built into the side of a hill, and has beautiful views over more hills and valleys. Her brothers and her sister are very close and she has plenty of nephews and nieces to make up for the fact that she and her husband have no children of their own. Both she and her husband are more than a little dog-oriented, and their current dog is a Staffordshire bull terrier named Florence. Florence is gorgeous. She loves everybody but, since she is 40 pounds of dynamite and would hurl her boisterous self at everyone she meets - given half a chance - she has to be restrained (as much as possible). She is fun.

Her husband spurred Jessica on to her writing career, giving her every support while she did what she considers her five-year apprenticeship (the rejection years) while learning how to write. She published her first books in 1979. Jessica has tried using a typewriter, but it just doesn't work for her. She is much happier writing in longhand, and in actual fact has a dozen or so fountain pens filled and ready to go at the start of any one session. A friend has a secretarial agency and, after deciphering Jessica's writing, returns an immaculately typed manuscript. To gain authentic background for her books, she has travelled and researched in Greece, Russia, Egypt, Mexico, Peru, Chile, Hong Kong, China and Japan.",9 May 1933,23 November 2020,1933,2020
OL194979A,Marjorie Lewty,"Marjorie Lobb was born on 8 April 1906 in Wallasey, Cheshire, England, UK, daughter of James, a sailor in the Merchant Navy, and Mabel, was the manager of the Queen's Cinema in Liverpool. She studied at Queen Mary High School in Liverpool, but her plans to study sciences at university were thwarted, when her father died. She was forced to take a hated job at secretary of the District Bank Ltd. from 1923 to 1933, when she married with Richard Arthur Lewty, a dental surgeon of Liverpool. They had one son Simon, and one daughter, Deborah (Bornoff). After her marriage she began to write short stories which were published in magazines. In 1958, she sold her first romance novel to Mills & Boon, and her last novel in 1999. Her husband died in 1978, and she died on 21 January 2002.",8 April 1906,21 January 2002,1906,2002
OL811660A,Michelle Reid,"Michelle Reid was born and grew up in Manchester in the Northwest of England with her four siblings. Her mother always animated to her children to read. She is married, and continues to live in England, but she adores to travel by the Mediterranean and to visit different countries. She is a popular British writer of over 30 romance novels for Mills & Boon since 1988.",,,,
OL6976866A,Flora Kidd,"Flora Mildred was born in 1926 in Liverpool, England, UK. The youngest of four children, Flora and her family lived in the same house until she was a teen. In 1949, she graduated from Liverpool University, where she met Robert Kidd, her husband. They moved to Scotland, where she began teaching and raised their four children: Richard, Patricia, Peter and David. 

Flora was given some romances to read and thought she would like to try and write one. She published her first novel, Visit To Rowanbank, in 1966. From this first sale to Mills and Boon, she continued her romance career until 1989. In 1977, the family moved to Canada.

Flora Kidd passed away on 19 March 2008 at Saint John, New Brunswick, Canada.",1926,19 March 2008,1926,2008
OL577983A,Sara Craven,"Anne Bushell was born in South Devon, England on October 1938, just before World War II and grew up in a house crammed with books. She was always a voracious reader, some of her all-time favorite books were: ""Pride and Prejudice"" by Jane Austen, ""Middlemarch"" by George Eliot, ""Jane Eyre"" by Charlotte Brontë, ""Gone With the Wind"" by Margaret Mitchell and ""The Code of the Woosters"" by P. G. Wodehouse. 

She worked as journalist at the Paignton Observer, but after her marriage, she moved to the north of England, where she worked as teacher. After she returned to journalism, she joined the Middlesbrough Writers' Group, where she met other romance writer Mildred Grieveson (Anne Mather). She started to wrote romance, and she had her first novel ""Garden of Dreams"" accepted by Mills & Boon in 1975, she published her work under the pseudonym of Sara Craven. In 2010 she became chairman of the Southern Writers' Conference, and the next year was elected Chairman (2011–2013) of the Romantic Novelists' Association.

Divorced twice, Annie lived in Somerset, England, where she shared her home with a West Highland white terrier called Bertie Wooster. When not writing, she enjoyed very old films, listening to music, going to the theatre, and eating in good restaurants. In 1997, she was the overall winner of the BBC's Mastermind, winning the last final presented by Magnus Magnusson.

Sara Craven died in November 2017.",05 October 1938,15 November 2017,1938,2017
OL661099A,Kay Thorpe,"Kay Thorpe was born on 1935 in England. An avid reader from the time when words on paper began to make sense, she developed a lively imagination of her own, making up stories for the entertainment of her young friends. After leaving school, she tried a variety of jobs, including dental nursing, and a spell in the Women's Royal Airforce from which she emerged knowing a whole lot more about life - if only as an observer.

In 1960, she married with Tony, but didn't begin thinking about trying her hand at writing for a living until she gave up work some four years later to have a baby, John. Having read Mills & Boon novels herself, and done some market research in the local library asking readers what it was they particularly liked about the books, she decided to aim for a particular market, and was fortunate to have her very first, completed manuscript accepted - The Last of the Mallorys, published in 1968. Since then she has written over seventy five books, which doesn't begin to compare with the output of some Mills & Boon authors, but still leaves her wondering where all those words came from.

Sometimes, she finds she has become two different people: the writer at her happiest when involved in the world of books and authors; and the housewife, turning her hands to the everyday needs of husband and son. Once in a while, she finds it difficult to step from one role to the other. She likes cooking, for instance, but she finds that it can be an irritating interruption when she's preoccupied with work on a novel, so the quality of her efforts in the kitchen tend to be a little erratic. She says, ""As my husband once remarked, my writing gives life a fascinating element of uncertainly: one day a perfect coq au vin, the next day a couple of burned chops!""

Luckily Kay has daily professional help with her housework, and that leaves her time to indulge in her hobbies. Like many other Mills & Boon authors, she admits to being a voracious consumer of books, a quality she shares with her readers. She likes music and horseback riding, which she does in the countryside near her home. But her favorite hobby is travel - especially to places that will make good settings for her books.

Kay now lives on the outskirts of Chesterfield in Derbyshire, along with husband, Tony, and a huge tabby cat called Mad Max her one son having flown the coop. Some day she'll think about retiring, but not yet awhile.",1935,,1935,
OL7933673A,Rina Kent,"Rina Kent is a New York Times, USA Today, and #1 bestselling author of all things dark romance. 

Better known for writing unapologetic anti-heroes and villains, Rina weaves tales of characters you shouldn’t fall for but inevitably do. Her stories are laced with a touch of darkness, a splash of angst, and just the right amount of unhealthy intensity. 

When she’s not busy plotting mayhem for her ever-expanding Rina verse, she leads a private life in London, travels, and pampers her cats in true Cat Lady fashion.",,,,
OL12751471A,Gu Lingfei,,,,,
OL659964A,Anne Weale,"Jay Blakeney was born on 20 June 1929. Her great-grandfather was a well-known writer on moral theology, so perhaps she inherited her writing gene from him. She was ""talking stories"" to herself long before she could read. When she was still at school, she sold her first short stories to a woman's magazine and she feels she was destined to write. Decided to became a writer, she started writing for newspapers and magazines. At 21, Jay was a newspaper reporter with a career plan, but the man she was wildly in love with announced that he was off to the other side of the world. He thought they should either marry or say goodbye. She always believed that true love could last a lifetime, and she felt that wonderful men were much harder to find than good jobs, so she put her career on hold. What a wise decision it was! She felt that new young women seem less inclined to risk everything for love than her generation. Together they traveled the world. If she hadn't spent part of her bridal year living on the edge of a jungle in Malaysia, she might never have become a romance writer. That isolated house, and the perils of the state of emergency that existed in the country at that time, gave her a background and plot ideally suited to a genre she had never read until she came across some romances in the library of a country club they sometimes visited. She can write about love with the even stronger conviction that comes from experience. When they returned to Europe, Jay resumed her career as a journalist, writing her first romance in her spare time. She sold her first novel as Anne Weale to Mills and Boon in 1955 at the age of 24. At 30, with seven books published, she ""retired"" to have a baby and become a full-time writer. She raised a delightful son, David, who is as adventurous as his father. Her husband and son have even climbed in the Andes and the Himalayas, giving her lots of ideas for stories. When she retired from reporting, her fiction income -- a combination of amounts earned as a Mills & Boon author and writing for magazines such as Woman's Illustrated, which serialized the work of authors -- exceed 1,000 pounds a year. She was a founding member of the The Romantic Novelists' Association. In 2002 she published her last novel, in total, she wrote 88 novels. She also wrote under the pseudonym Andrea Blake. She loved setting her novels in exotic parts of the world, but specially in The Caribbean and in her beloved Spain. Since 1989, Jay spent most of the winter months in a very small ""pueblo"" in the backwoods of Spain. During years, she visited some villages, and from each she have borrowed some feature - a fountain, a street, a plaza, a picturesque old house - to create some places like Valdecarrasca, that is wholly imaginary and yet typical of the part of rural Spain she knew best. She loved walking, reading, sketching, sewing (curtains and slipcovers) and doing needlepoint, gardening, entertaining friends, visiting art galleries and museums, writing letters, surfing the Net, traveling in search of exciting locations for future books, eating delicious food and drinking good wine, cataloguing her books. She wrote a regular website review column for The Bookseller from 1998 to 2004, before starting her own blog Bookworm on the Net. At the time of her death, on 24 October 2007, she was working on her autobiography ""88 Heroes... 1 Mr. Right"".",20 June 1929,24 October 2007,1929,2007
OL395577A,Essie Summers,"Ethel Snelson Summers, well-known as Essie, was born on Bordesley Street in Christchurch, New Zealand on July 24, 1912. Her parents, Ethel Snelson (for whom she was named) and Edwin Summers, had immigrated to New Zealand from England exactly one year earlier. She had an older brother, Edwin and a younger brother, William. She grew up in a warm and happy home where reading and story-telling were highly valued, and from a very early age little Essie was making up her own stories. When a teacher read aloud ""Emily of New Moon"" by L.M. Montgomery, she knew then that she wanted to be a writer. When she was young she had red hair, like many of her heroines, and she has said that she had a very quick temper, which she later learned to control. Essie left school early for financial reasons and began work at Londontown Drapers and she did similar work for the next 13 years, until her marriage. Essie married William Flett, a minister, after a courtship conducted mainly by letters, and they settled into parish life together. They lived in various parts of the North and South Islands of New Zealand though they eventually settled in Hawke's Bay in the North Island. They had two children, William Temple and Elizabeth Lucia, and seven grandchildren. As a minister's wife and a mother, her life was very full, but she was still a prolific writer of short stories, poems and, for a time, a newspaper column. Finally, her husband told her that if she was to achieve her goal of having a novel published by the time she was forty-five, the time to start was now. With his help she was able to concentrate on her writing and had her first novel published the day after her forty-fifth birthday! She went on to become one of the world's most beloved romance writers and a strong supporter of other aspiring writers. When she had achieved some financial security with her writing, she and her husband fulfilled a life-long dream and travelled to Great Britain and parts of Europe, where she was able to visit many of the places where her ancesters had lived. She writes very movingly in her autobiography about seeing the places where her parents had come from and meeting her English relatives. Essie went on to use many of those settings in her novels. In all she wrote fifty-six novels and an autobiography, plus her family history, before her death in Napier at the age of eighty-six on August 27, 1998. She was predeceased by her husband in 1984. Many of her fans have travelled to New Zealand to see for themselves the country that she described so vividly in her books. Because of this Essie Summers was offered The Order Of The British Empire for her contributions to tourism.",1912 July 24,1998 August 27,1912,1998
OL1430285A,Holly Black,"Holly Black is the #1 New York Times bestselling author of over thirty fantasy novels for kids and teens. She has been a finalist for an Eisner Award and the Lodestar Award, and the recipient of the Mythopoeic Award, a Nebula, and a Newbery Honor. Her books have been translated into 32 languages worldwide and adapted for film. She currently lives in New England with her husband and son in a house with a secret library.",10 November 1971,,1971,
OL10218224A,H. D. Carlton,"H. D. Carlton is an International and USA Today Bestselling author. She lives in Oregon with her husband, Bigfoot, two dogs, and cat. When she’s not bathing in the tears of her readers, she’s watching paranormal shows and wishing she was a mermaid. Her favorite characters are of the morally gray variety and believes that everyone should check their sanity at the door before diving into her stories.",27 September 1996,,1996,
OL1916104A,Lillian Cheatham,,,,,
OL892147A,Mary Burchell,"Mary Burchell was the pen name of Ida Cook and published all her novels under this name from 1936 to 1985.

Ida Cook was born on 24 August 1904 at 37 Croft Avenue, Sunderland, England. With her older sister (Mary) Louise Cook (b. 1901), she attending the Duchess' School in Alnwick. Later the sisters took civil service jobs in London, and developed a passionate interest in opera.

A constant presence at Covent Garden, the pair became close to some of the greatest singers of the era; Amelia Galli-Curci, Rosa Ponselle, Tito Gobbi and Maria Callas. They also came to know the Austrian conductor Clemens Krauss, and it was through he that Cooks learned of the persecution of European Jews. In 1934, Krauss's wife asked the sisters to help a friend to leave Germany. Having accomplished this, the sisters continued the good work, pretending to be eccentric opera fanatics willing to go anywhere to hear a favourite artist. Krauss assisted them, even arranging to perform in cities they needed to visit. The sisters made repeated trips to Germany, bringing back jewellery and valuables belonging to Jewish families. This enabled Jews to satisfy British requirements as regards financial security - Jews were not allowed to leave Germany with their money. Using many techniques of evasion, including re-labelling furs with London labels, the sisters enabled 29 persons to escape from almost certain death.

The Cooks' own finances were little precarious, and when Ida obtained a contract with Mills and Boon to publish her first novel in 1936, she left the Civil Service to write full time. As Mary Burchell, she became a prolific writer of romantic fiction. Her great popularity helped the success of Mills and Boon, and guaranteed substantial income after the war. For many decades, her writing supported her two passions: refugees and young opera singers. Her flat in Dolphin Square at various times housed homeless European families.

In 1950, Ida Cook wrote her autobiography: ""We followed our stars"", and in 1965, the Cook sisters were honoured as Righteous Gentiles by the Yad Vashem Martyrs and Heroes Remembrance Authority in Israel, thus joining Oskar Schindler among others. She helped to found and was for many years president of the Romantic Novelist's Association. As Mary Burchell, she wrote over a hundred and ten romance novels, many of which were translated, and her most famous work is ""The Warrender Saga"", a series about the opera world, full of real details. 

Ida Cook passed away on 22 December 1986 and her sister Louise in 1991.",24 August 1904,22 December 1986,1904,1986
OL849503A,Roberta Leigh,"Rita Shulman was born in 1927 in London, England, daugther of Jewishs from Russia. She developed a big interest in art. In 1948, she married Michael Lewin and they had a son, Jeremy. She began writing with her first published romance novel in 1950, and she continued published romance novels as Roberta Leigh, Rachel Lindsay, Roumelia Lane and Rozella Lake and as her maiden name Janey Scott. She was one of the first writers to introduce strong career-minded heroines who wouldn't be bossed around by the hero. She had her own film company and wrote and produced 7 TV series for children: Twizzle, Sarah & Hoppity, Torchy and Space Patrol etc. As well as writing the stories, Roberta Leigh also 'wrote' the music for her series, although this usually involved her humming or singing the tune into a tape recorder, after which someone else would arrange and write a score. She studied painting with Diana Raphael and Michael Chaitow, and they awakened her interest in abstract art. Her medium is oil, and watercolour in its various forms. This is done either on paper, or paper bonded on canvas or on board. Her work is deeply emotional, and during a painting session many paintings may be discarded before a state of transcendental calm is obtained. Only then does the true process of creation begin. Her first exhibition was held at the home of Robert Brenner, founder of the Institute of Safety Analysis, Washington DC and the commissions which followed delayed her next exhibition for two years. This was at the Podbury Gallery in London where she remained until the owner retired. She then went to Finnegans Gallery in Mayfair, and remained there until it closed due to Wendy Finnegan's ill health. She now works privately for clients in England, North America and Switzerland. But, romantic fiction has a special place in her life. She lives in London, loves children, dogs and cats and, since the death of her husband, finds her romance in the books.",22 December 1926,19 December 2014,1926,2014
OL808883A,Yvonne Whittal,,,,,
OL9096427A,Ali Hazelwood,Italian neuroscientist and writer of romance novels.,,,,
OL883651A,Violet Winspear,"Violet Winspear was born on 28 April 1928 in England. She worked in a factory since 1942, when in 1961 she sold her first romance novels to Mills & Boon. In 1963, she became a full time writer.[2] She wrote from her home in the south-east England, that she never left, but she meticulously researched her far-flung settings at the local library. She never married, and had no children. She inspired her nephew Jonathan Winspear to write.

Violet said: ""The real aim of romance is to provide escape and entertainment"", but when in 1970 she commented: ""I get my heroes so that they're lean and hard muscled and mocking and sardonic and tough and tigerish and single, of course. Oh and they've got to be rich and then I make it that they're only cynical and smooth on the surface. But underneath they're well, you know, sort of lost and lonely. In need of love but, when roused, capable of breathtaking passion and potency. Most of my heroes, well all of them really, are like that. They frighten but fascinate. They must be the sort of men who are capable of rape: men it's dangerous to be alone in the room with."" The comment, that they were 'capable of rape' caused a big controversy, uproar and lead to her receiving hate mail.

In 1973, she became a launch author for the new Presents line of category romance novels. Mills & Boon/Harlequin Presents books were more sensual than the previous line, Romance, under which she had been published. She was chosen to be a launch author because she, along with Anne Mather and Anne Hampson were the most popular and prolific of Mills & Boon's British authors.

Considered a legend in the romance community and influenced many authors, including Muriel Jensen, Jane Porter, Trish Morey and Sandra Marton. She also inspired her nephew Jonathan to write. She pased away at the beginning of 1989 after a long battle with cancer.",28 April 1928,January 1989,1928,1989
OL7620131A,Casey McQuiston,,,,,
OL81447A,Daphne Clair,"Daphne Clair de Jong decided to be a writer when she was eight years old and won her first literary prize for a school essay. Her first short story was published when she was sixteen and she's been writing and publishing ever since. Nowadays she earns her living from writing, something her well-meaning teachers and guidance counsellors warned her she would never achieve in New Zealand. Her short stories have appeared in many magazines and anthologies, and a collection of them was presented in Crossing the Bar, published by David Ling, where they garnered wide praise. 

In 1976, Daphne's first full-length romantic novel was published by Mills & Boon as Return to Love. Since then she has produced a steady output of romance set in New Zealand, occasionally Australia or on imaginary Pacific islands. As Laurey Bright she also writes for Silhouette Books. Her romances often appear on American stores' romance best-seller lists and she has been a Rita contest finalist, as well as winning and being placed in several other romance writing contests. Her other writing includes non-fiction, poetry and long historical fiction, She also is an active defender of the ideology of Feminists for Life, and she has written articles about it. 

Since then she has won other literary prizes both in her native New Zealand and other countries. These include the prestigious Katherine Mansfield Short Story Award, with Dying Light, a story about Alzheimer's Disease, which was filmed by Robyn Murphy Productions and shown at film festivals in several countries. (Starring Sara McLeod, Sam's wife in Lord of the Rings). 

Daphne is often asked to tutor courses in creative writing, and with Robyn Donald she teachs romance writing weekend courses in her home in the ""winterless north"" of in New Zealand. Daphne lives with her Netherlands-born husband in a farmlet, grazing livestock, growing their own fruit and vegetables and making their large home available to other writers as a centre for writers' workshops and retreats. Their five children, one of them an orphan from Hong Kong, have left home but drift back at irregular intervals. She enjoys cooking special meals but her cake-making is limited to three never-fail recipes. Her children maintain they have no memory of her baking for them except on birthdays, when she would produce, on request, cakes shaped into trains, clowns, fairytale houses and, once, even a windmill, in deference to their Dutch heritage from their father. 

Daphne frequently makes and breaks resolutions to indulge in some hearty outdoor activity, and loves to sniff strong black coffee but never drinks it. After a day at her desk she will happily watch re-runs of favourite TV shows. Usually she goes to bed early with a book which may be anything from a paperback romance or suspense novel to history, sociology or literary theory.",1939,,1939,
OL236272A,Deborah Harkness,,1965,,1965,
