edition_key,contributor_name,contributor_role,by_statement,translated_from,translation_of
OL24008116M,,,Charlaine Harris.,,
OL15576803M,,,Charlaine Harris.,,
OL3302211M,,,Charlaine Harris.,,
OL22839393M,,,by Lillian Cheatham.,,
OL1448061M,,,Johanna Lindsey.,,
OL22933332M,,,Johanna Lindsey.,,
OL22646923M,,,Jude Deveraux.,,
OL14976962M,,,by Marjorie Lewty.,,
OL32395936M,,,Dustin thao,,
OL23539834M,,,Janet Dailey.,,
OL4593395M,,,by Janet Dailey.,,
OL14980418M,,,Janet Dailey.,,
OL16743097M,,,Sara Craven.,,
OL38562547M,,,Linsi Sėnds,,
OL3415246M,,,by Lynsay Sands.,,
OL24930177M,,,Betty Neels,,
OL24944807M,,,Robyn Donald,,
OL39470804M,,,edited by Amanda Bergeron,,
OL23055868M,,,Dzhoanna Lindseĭ ; [perevod s angliĭskogo S.B. Pevcheva].,,
OL24767764M,,,Jacqueline Baird,,
OL24212928M,,,Jude Deveraux.,,
OL22329584M,,,Jude Deveraux.,,
OL22153495M,,,Jude Deveraux.,,
OL24516449M,,,Jude Deveraux,,
OL28204464M,,,by Sara Craven,,
OL6782628M,,,Janet Dailey.,,
OL24375941M,,,Sara Craven,,
OL1977522M,,,by Catherine George.,,
OL18915683M,,,by Betty Neels.,,
OL23031680M,,,zuo zhe Qiao'anna Linsai ; yi zhe Lin Weiyi = Keeper of the heart / Johanna Lindsey.,,
OL2536812M,,,Jude Deveraux.,,
OL17881366M,,,Janet Dailey.,,
OL14976509M,,,by Sara Craven.,,
OL14975737M,,,by Betty Neels.,,
OL22276490M,,,Betty Neels.,,
OL18698197M,,,by Helen Bianchin.,,
OL32152283M,,,by Penny Jordan,,
OL23189300M,,,Penny Jordan.,,
OL14978502M,,,by Penny Jordan.,,
OL2386722M,,,Lilian Peake.,,
OL29472000M,,,Joan Smith,,
OL1610742M,,,by Robyn Donald.,,
OL26331364M,,,Lynne Graham,,
OL16521924M,,,byBetty Neels.,,
OL18136219M,,,Robyn Donald.,,
OL28683342M,,,Penny Jordan,,
OL14982049M,,,Emma Darcy.,,
OL14980364M,,,Anne Mather.,,
OL24941233M,,,Anne Mather,,
OL14977951M,,,by Lilian Peake.,,
OL15207975M,,,gan Lilian Peake ; (addasiad Sioned Puw).,,
OL22284457M,,,Patricia Wilson.,,
OL60769436M,,,,eng,"Greek Tycoon, Inexperienced Mistress"
OL31939766M,,,Lynne Graham,,
OL24864732M,,,Lynne Graham,,
OL27133464M,,,Nora Roberts ; [per. s angl. ︠I︡U. Golʹdberga],,
OL23275325M,,,Nora Roberts.,,
OL20120910M,,,by Joan Smith.,,
OL4254821M,,,Joan Smith.,,
OL4117776M,,,Joan Smith.,,
OL16687120M,,,John Crowley.,,
OL3953060M,,,John Crowley.,,
OL14979147M,,,by Betty Neels.,,
OL40729418M,Priscila Catão,Translator,,eng,It Starts with Us
OL17484152M,,,John Crowley.,,
OL20501301M,,,Penny Jordan.,,
OL14980442M,,,by Betty Neels.,,
OL40208522M,Lara Agnelli,Translator,,eng,It Starts with Us
OL22452691M,,,John Crowley.,,
OL17951661M,,,John Crowley.,,
OL4257033M,,,John Crowley.,,
OL22384649M,,,Penny Jordan.,,
OL1882868M,,,Penny Jordan.,,
OL46526687M,,,,eng,It Starts with Us
OL39209653M,,,,eng,It start with us
OL12711224M,,,,,Mystique
OL31149714M,,,Mary Stewart,,
OL32667542M,,,Lynne Graham,,
OL1776471M,,,by Anne Mather.,,
OL14976808M,,,by Margaret Way.,,
OL32646378M,,,,eng,Mystique
OL24950350M,,,Amanda Quick,,
OL1274106M,,,Amanda Quick.,,
OL19644824M,,,Amanda Quick.,,
OL20652736M,,,Margaret Way.,,
OL46532998M,,,,,Mystique
OL1271035M,,,Amanda Quick.,,
OL25407655M,,,Lynne Graham,,
OL24221817M,,,Mary Stewart.,,
OL17196143M,,,Mary Stewart.,,
OL17527234M,,,Mary Stewart.,,
OL20934398M,,,Mary Stewart.,,
OL24212837M,,,Anne Mather.,,
OL14976827M,,,by Carole Mortimer.,,
OL3955266M,,,Julia Quinn.,,
OL6783247M,,,Janet Dailey.,,
OL14977226M,,,Janet Dailey.,,
OL26336874M,,,by Kerry Allyne,,
OL32713504M,,,Margaret Way,,
OL23034194M,,,Mėri Sti︠u︡art ; [perevod s angliĭskogo A. Grokhovskoĭ].,,
OL2184208M,,,Mary Stewart.,,
OL17946161M,,,Emma Darcy.,,
OL20264368M,,,(by) Lucy Walker.,,
OL24832227M,,,Julia Quinn,,
OL3499623M,,,Janet Dailey.,,
OL22380894M,,,Janet Dailey.,,
OL14981010M,,,Kerry Allyne.,,
OL24854904M,,,Margaret Way,,
OL18462013M,,,by Charlotte Lamb.,,
OL2036962M,,,Mary Stewart.,,
OL15263727M,,,[translated by Margarete Längsfeld and Hans Erik Hausner].,,
OL14876351M,,,Lucy Walker.,,
OL3667100M,,,Julia Quinn.,,
OL14976523M,,,by Kerry Allyne.,,
OL24759653M,,,Margaret Way,,
OL61514612M,,,,eng,Before I Let Go
OL24212992M,,,Johanna Lindsey.,,
OL18676740M,,,Roald Dahl.,,
OL27216147M,,,Roald Dahl ; traducción de Miguel Sáenz ; ilustraciones de Quentin Blake,,
OL24206338M,,,Roald Dahl ; illustrations by Quentin Blake.,,
OL1953304M,,,Roald Dahl ; illustrations by Quentin Blake.,,
OL1714654M,,,Roald Dahl ; illustrations by Quentin Blake.,,
OL17311667M,,,by Carole Mortimer.,,
OL14979946M,,,by Nerina Hilliard.,,
OL3177170M,,,Nerina Hilliard.,,
OL22391704M,,,Essie Summers.,,
OL781633M,,,Johanna Lindsey.,,
OL804138M,,,Johanna Lindsey.,,
OL23194791M,,,Linda Howard.,,
OL26968018M,,,Roald Dahl ; illustré par Quentin Blake ; traduit de l'anglais par Henri Robillot,,
OL1873276M,,,Roald Dahl ; illustrations by Quentin Blake.,,
OL32345267M,,,Roald Dahl ; darluniau gan Quentin Blake ; cyfieithiad gan Elin Meek,,
OL28681010M,,,by Carol Marinelli,,
OL23056954M,,,Johanna Lindsey.,,
OL47780277M,,,,eng,Sundays at Tiffany's
OL28694829M,,,James Patterson and Gabrielle Charbonnet,,
OL24381985M,,,James Patterson and Gabrielle Charbonnet,,
OL24500775M,,,Dawn Lindsey,,
OL24617972M,,,Jessica Steele,,
OL23263708M,,,by Johanna Lindsey.,,
OL24743116M,,,Johanna Lindsey,,
OL32145295M,,,James Patterson and Gabrielle Charbonnet,,
OL28278131M,,,James Patterson and Gabrielle Charbonnet,,
OL20951942M,,,James Patterson and Gabrielle Charbonnet.,,
OL24215559M,,,Dawn Lindsey.,,
OL14980197M,,,Charlotte Lamb.,,
OL17249238M,,,by Charlotte Lamb.,,
OL14977606M,,,by Flora Kidd.,,
OL46535310M,,,,,Haunting Adeline
OL21626306M,,,Jessica Steele.,,
OL3557664M,,,Johanna Lindsey.,,
OL35409505M,,,,eng,Sundays at Tiffany's
OL24738977M,,,Charlotte Lamb,,
OL24226931M,,,Flora Kidd.,,
OL18397490M,,,Lindsay Armstrong.,,
OL61134262M,,,,eng,The Housemaid's Secret
OL39677050M,,,,eng,The Housemaid
OL31161874M,,,Nora Roberts,,
OL1823329M,,,by Daphne Clair.,,
OL23245708M,,,Teresa Medeiros.,,
OL61134265M,,,,eng,The Housemaid
OL50515918M,Elżbieta Pawlik,Translator,,eng,The Housemaid
OL48293412M,,,,eng,The Housemaid
OL32115299M,,,Nora Roberts ; traduit de l'américain par Sophie Pertus,,
OL29483209M,,,Nora Roberts,,
OL3395962M,,,Nora Roberts.,,
OL28422692M,,,Anne Mather,,
OL33247736M,Kristin Kröner,Translator,,eng,
OL32757282M,,,Nora Roberts,,
OL26922002M,,,Nora Roberts ; [perevod s angliĭskogo I. Faĭnshteĭn],,
OL25545809M,,,Nora Roberts,,
OL3475024M,,,Nora Roberts.,,
OL14980729M,,,by Daphne Clair.,,
OL18213797M,,,by Penny Jordan.,,
OL6679934M,,,by E. M. Hull.,,
OL20123267M,,,(by) E.M. Hull.,,
OL24959157M,,,Julie Garwood,,
OL35703742M,Cristian Clemente,Translator,,,
OL28813602M,Enrique Mercado,Translator,,eng,Red Queen
OL25882540M,Enrique Mercado,Translator,,eng,Red Queen
OL37760232M,Birgit Schmitz,Translator,,eng,Red Queen
OL26974531M,,,Victoria Aveyard,,
OL24938967M,,,by Penny Jordan,,
OL24975286M,,,by Penny Jordan,,
OL16857271M,,,by E. M. Hull,,
OL3797780M,,,by E.M. Hull ; condensed by Barbara Cartland.,,
OL39198774M,,,Julie Garwood ; traduit de l'américain par Catherine Plasait,,
OL24743377M,,,Julie Garwood,,
OL14981018M,,,by Jessica Steele.,,
OL41445010M,Alice Delarbre,Translator,,eng,Red Queen
OL35664971M,,,,eng,Red Queen
OL26945772M,維多利亞·愛芙雅,Author name as appears on this edition,Weiduoliya Aifuya zhu ; Weng Yaru yi = Red queen / Victoria Aveyard,eng,Red Queen
OL26945772M,翁雅如,Translator,Weiduoliya Aifuya zhu ; Weng Yaru yi = Red queen / Victoria Aveyard,eng,Red Queen
OL6795523M,,,by E.M. Hull.,,
OL4714409M,,,by E. M. Hull.,,
OL4407325M,,,Emilie Loring.,,
OL5940483M,,,[by] Emilie Loring.,,
OL20939437M,,,Julie Garwood.,,
OL1717511M,,,Julie Garwood.,,
OL35635352M,Enrique C. Mercado González,Translator,,eng,Red Queen
OL35381319M,Onur Kınacı Birler,Translator,,eng,Red Queen
OL36010362M,,,,eng,Red Queen
OL37815097M,Adriana Sokołowska-Ostapko,Translator,,eng,Red Queen
OL37760234M,Birgit Schmitz,Translator,,eng,Red Queen
OL17198714M,,,Johanna Lindsey.,,
OL24764645M,,,by Helen Bianchin,,
OL25572962M,,,by Betty Neels,,
OL20026631M,,,Anne Mather.,,
OL12514497M,,,,eng,A Hazard of Hearts
OL14993675M,,,Barbara Cartland.,,
OL24202708M,,,Amanda Carpenter.,,
OL14979848M,,,by Anne Mather.,,
OL19999773M,,,by Anne Mather.,,
OL23056322M,,,Dzhoanna Lindseĭ ; [perevod s angliĭskogo E.G. Shabalovoĭ].,,
OL37824318M,,,Betty Neels,,
OL47719042M,,,,,Hazard of Hearts
OL14905209M,,,Barbara Cartland.,,
OL7433758M,,,Johanna Lindsey,,
OL23040945M,,,Qiao'anna Linsai ; yi zhe Chen Bocang.,,
OL24709638M,,,by Helen Bianchin,,
OL25177214M,,,Betty Neels,,
OL24405970M,,,Anne Mather,,
OL33338061M,,,Linn Grėkhem ; [perevod s angliĭskogo I͡U.S. Mashkovoĭ],,
OL56441199M,Vincent Illustrator,Illustrator,,,
OL22375975M,,,Linda Howard.,,
OL24770840M,,,Linda Howard,,
OL45282722M,,,Nagahashi Takusuke hen,,
OL45282843M,,,Serubantesu gencho ; Okino Iwasaburō yaku,,
OL45293356M,,,Serubantesu ; Nishino Tatsukichi. Merime saku Karumen,,
OL45293397M,,,Iwasa Ujitoshi cho,,
OL791065M,,,Linda Howard.,,
OL17048228M,,,Linda Howard,,
OL25379369M,,,Helen Bianchin,,
OL45282336M,,,Seruvantesu cho ; Katagami Noburu yaku,,
OL45294513M,,,Serubantesu [saku] ; Nagata Hirosada yaku,,
OL45283883M,,,Serubantesu saku ; Nagata Hirosada yaku,,
OL13987209M,,,con notas y una introduccio n por Jaime Fitzmaurice-Kelly y Juan Ormsby.,,
OL36315540M,Maxim Montoto,Editor,,,
OL36184634M,Marcia Williams,Illustrator,Retold and illustrated by Marcia Williams,spa,Don Quixote
OL36184634M,Marcia Williams,Revised by,Retold and illustrated by Marcia Williams,spa,Don Quixote
OL22209169M,,,"compuesto por Miguel de Cervantes Saavedra ; corr. denuevo, con nuevas notas, nuevas viñetas,con nuevo análisis, y con la vida del autor nuevamente aum. por Juan Antonio Pellicer.",,
OL13912130M,,,composed by Miguel de Cervantes Saavedra ; translated by Charles Jarvis ; with an introduction by Henry Morley.,,
OL40782428M,David Widger,Prepared by,,,
OL22979254M,,,compuesto por Miguel de Cervantes Saavedra ...,,
OL19895869M,,,versão de A. Ribeiro.,,
OL36315616M,Natalie Montoto,Editor,,,
OL24226534M,Thomas Shelton,Translator,by Miguel de Cervantes ; translated by Thomas Shelton ; with introductions and notes,spa,
OL16262736M,,,prepared by R.M. Flores,,
OL25625565M,John Jay Allen,Editor,,,
OL25625565M,Pilar Coomonte,Cover Design,,,
OL25625565M,Pilar Coomonte,Illustrator,,,
OL7015993M,,,by Miguel de Cervantes ; translated  by Thomas Shelton ; with introductions and notes.,spa,
OL6664935M,Gordon Browne,Illustrator,"By Miguel de Cervantes-Saavedra, arranged by A.A. Methley ... Illustrated by Gordon Browne",spa,
OL17946584M,,,,spa,
OL17729575M,P.A. Motteux,Translator,Miquel de Cervantes Saavedra ; translated from the Spanish by P.A. Motteux.,spa,
OL13986374M,,,"translated from the Spanish, by Motteux.",,
OL22872033M,,,iberzetsṭ un bearbayṭeṭ durkh Sh. Z. Zetser.,spa,
OL36322521M,Joni Njl,Illustrator,,,
OL36323679M,S. R. P.,Editor,,,
OL37833698M,,,Miguel de Cervantes Saavedra. Mit e. Essay von Iwan Turgenjew u. e. Nachw. von André Jolles. Mit Ill. von Gustave Doré,spa,
OL33061526M,J. J. A. Goeverneur,Translator,,spa,
OL23501471M,,,,spa,
OL8714713M,Michael J. Marshall,Series General Editor,,spa,
OL8714713M,Dominick Daly,Translator,,spa,
OL24951134M,Thomas Shelton,Translator,by Miguel de Cervantes ; translated by Thomas Shelton,spa,
OL24207174M,Thomas Shelton,Translator,by Miguel de Cervantes ; translated by Thomas Shelton ; with introductions and notes,spa,
OL26363066M,N.M. Li Łubimova,Translator,M. de Servantes Saavedra ; [perevod s ispanskogo N.M. Li Łubimova ; stikhi v perevode M.L. Lozinskogo],spa,
OL23742694M,P.A. Motteux,Translator,translated from the Spanish by P.A. Motteux ...,spa,
OL28635009M,Sally Prue,Revised by,,spa,
OL28635009M,Michael Morpurgo,Selected by,,spa,
OL28597970M,Michael Morpurgo,Selected by,,spa,
OL28597970M,Sally Prue,Revised by,,spa,
OL36322475M,Andronum,Cover Art,,,
OL27273832M,,,,spa,
OL32879330M,Sir Angels,Editor,,spa,
OL32798139M,,,,spa,
OL29228337M,,,,spa,
OL11505566M,Tom Lathrop,Editor,,,
OL7245561M,Thomas Shelton,Translator,translated by Thomas Shelton ; with introductions and notes,spa,
OL24137697M,Francisco Rodríguez Marín,Notes by,anotada por Francisco Rodríguez Marín.,,
OL20479428M,,,,spa,
OL5670503M,P.A. Motteux,Translator,"Translated from the Spanish by Motteux. With copious notes, and essay on the life and writings of Cervantes, by John G. Lockhart.",spa,
OL13986484M,P.A. Motteux,Translator,translated from the Spanish by P.A. Motteux.,spa,
OL23400942M,P.A. Motteux,Translator,translated from the Spanish by P.A. Motteux ...,spa,
OL24348338M,,,forfattet af Miguel de Cervantes Saavedra ; oversat fra det Spanske af Frederik Schaldemose,spa,
OL7461671M,Samuel Putnam,Translator,,spa,
OL36312716M,Sergio Aguilar Jiménez,Introduction,,,
OL61475522M,Daniel Augusto Gonçalves,Translator,,spa,El ingenioso hidalgo Don Quijote de la Mancha
OL61475522M,Arsénio Mota,Translator,,spa,El ingenioso hidalgo Don Quijote de la Mancha
OL61475470M,Daniel Augusto Gonçalves,Translator,,spa,El ingenioso hidalgo Don Quijote de la Mancha
OL61475470M,Arsénio Mota,Translator,,spa,El ingenioso hidalgo Don Quijote de la Mancha
OL61011567M,,,,,Don Quijote de la Mancha
OL60558776M,Patricia Rodríguez Gonzáles,Designer,,,
OL60558776M,Vera Barrios Rodriguez,Appendix,,,
OL52578799M,,,por Miguel de Cervantes Saavedra,,
OL52579951M,,,por un apasionado de su autor,,
OL45281890M,,,Sasaki Kuni yaku,,
OL45282301M,,,Seruvantesu gensaku ; Sasaki Kuni yaku,,
OL11505568M,Tom Lathrop,Editor,,,
OL27048556M,,,Migelʹ de Servantes Saavedra ; izdanie podgotovili N.I. Balashov... et al,spa,
OL12580739M,,,,spa,
OL10601284M,,,,spa,
OL31475862M,,,Miguel de Cervantes Saavedra ; edición revisada y ampliada de Florencio Sevilla Arroyo y Antonio Rey Hazas,,
OL38216109M,,,Miguel de Cervantes Saavedra ; [prólogo de Roque Esteban Scarpa],,
OL59428405M,Martín de Riquer,Editor,,,
OL59428405M,Martín de Riquer,Introduction,,,
OL59428405M,Martín de Riquer,Notes by,,,
OL52590672M,,,compuesto or Miguel de Cervantes Saavedra,,
OL52590954M,,,compuesto por Miguel de Cervantes Saavedra,,
OL52592407M,,,Compuesto por Miguel de Cervantes Saavedra ...,,
OL34944904M,Tom Lathrop,Editor,,,
OL34891060M,Enzo Maqueira,Adapted from original work by,,,
OL26867966M,,,,spa,
OL10601285M,,,,spa,
OL12580735M,,,,spa,
OL31151133M,,,Cervantes ; texto abreviado por Ramón Gómez de la Serna ; ilustrado por Trinidad Romero,,
OL29411556M,Rob Davis,Graphic Design,,,
OL37412817M,E. Cabezas,Commentary,,,
OL37412817M,L Ferrero,Commentary,,,
OL59415719M,,,Pour lire en espagnol avec la traduction des mots-clés,,
OL52600570M,,,ilustraciones: Roberto Paez ; ed. y notas: Celina S. De Cortázar e Isaias Lerner ; prólogo: Marcos A. Morinigo,,
OL45281830M,,,"Seruvantesu [cho] ; Shimamura Hōgetsu, Katagami Noburu kyōyaku",,
OL28378187M,,,Miguel de Cervantes ; prólogo y esquema biográfico por Américo Castro,,
OL30409785M,,,"Miguel de Cervantes Saavedra ; edited and with notes and an index by Tom Lathrop ; cover and illustrations by Jack Davis ; curator of the text, Stephen Hessel",,
OL27784540M,,,"Selección, estudio y notas por Alfredo Malo",,
OL8501752M,,,,spa,
OL1093018M,,,Miguel de Cervantes Saavedra ; translated from the Spanish by Burton Raffel ; introduction by Diana de Armas Wilson.,spa,
OL20952825M,,,Miguel de Cervantes Saavedra ; translated from the Spanish by Burton Raffel ; introduction by Diana de Armas Wilson.,spa,
OL13986948M,,,opera di Michele di Cervantes Saavedra.,spa,
OL13987952M,,,traduit fidellement de l'espagnol de Michel de Cervantes.,spa,
OL13986907M,,,traduite... par F. de Brotonne.,spa,
OL27769799M,,,,spa,
OL20629505M,,,"an t-athair Peadar Ua Laoghaire, Canónach, S.P., do scrióbh ón sgéal Spainneach.",spa,
OL18525116M,Peter O'Leary,Translator,Peadar Ua Laoghaire do sgríobh ón sgéal Spainneach.,spa,
OL13986908M,Louis Viardot,Translator,par Miguel de Cervantes Saavedra ; traduit et annote par Louis Viardot ; vignettes de Tony Johannot.,spa,
OL13909866M,Louis Viardot,Translator,par Miguel de Cervantes Saavedra ; traduite et annotée par Louis Viardot ; vignettes de Tony Johannot.,spa,
OL13986909M,Louis Viardot,Translator,,spa,
OL13986945M,Lucien Biart,Translator,par Michel de Cervantes Saavedra ; traduction nouvelle de Lucien Biart ; pre ce de e d'une notice sur la vie et l'oeuvre de Cervantes écrite spécialement pour cette traduction par Prosper Mérimée,spa,
OL16192167M,,,,spa,
OL9130631M,John Jay Allen,Editor,,,
OL13986867M,,,"aus dem Spanischen Ubersezt; mit dem Leben von Miguel Cervantes nach Viardot, und einer Einleitung von Heinrich Heine.",spa,
OL22401983M,,,"von Miguel Cervantes de Saavedra ; aus dem Spanischen übersetzt, mit dem Leben von Miguel Cervantes nach Viardot, und einer Einleitung von Heinrich Heine.",spa,
OL24775086M,F. de Brotonne,Translator,par Michel Cervantes ; traduite sur le texte original et d'après les traductions comparées de Oudin et Rosset ... [et al.] par F. de Brotonne,spa,
OL25100112M,,,"Miguel de Cervantes ; edición, notas e introducción, Alberto Blecua",,
OL24992067M,,,"segun el texto corregido y anotado por el St. Ochoa, acompañada de un ensayo historico sobre la vida y escritos de Cervantes, por Jorge Ticknor",,
OL727042M,,,Miguel de Cervantes Saavedra.,,
OL13986906M,,,traduite de l'espagnol de Michel de Cervantes par Filleau de Saint-Martin.,,
OL5899795M,John Ormsby,Translator,"by Miguel de Cervantes Saavedra ; a translation, with introduction and notes, by John Ormsby.",spa,
OL20820203M,,,traduitede l'Espagnol de Michel de Cervantes.,,
OL8501864M,,,,spa,
OL25880193M,Eduardo Alonso,Adaptation,,,
OL25880193M,Víctor G. Ambrus,Illustrator,,,
OL13985822M,,,compuesta por Miguel de Cervantes Saavedra,,
OL13987954M,,,"composto da Michel di Cervantes Saavedra ; et hora nuovamente tradotto con fedelta  , e chiarezza, di Spagnuolo, in Italiano, da Lorenzo Franciosini Fiorentino.",spa,
OL13987955M,,,traduit fidellement de l'espagnol de Michel de Cervantes.,spa,
OL20787631M,,,preveo sa španskog originala Đorđde Popović.,spa,
OL14826060M,,,[trad. en français],spa,
OL13987212M,,,traduite de l'espagnol de Michel de Cervantes par Filleau de Saint-Martin ; e dition illustre e de 120 gravures par Tony Johannot.,spa,
OL19957330M,,,Miguel de Cervantes Saavedra. Vol.2.,spa,
OL19957329M,,,Miguel de Cervantes Saavedra. Vol.1.,spa,
OL19827288M,,,enmendada y corregida por Francisco Sales.,,
OL6220222M,,,"Translated from the Spanish by Charles Jarvis. Abridged and edited, with an introd. by Lester G. Crocker.",spa,
OL19056327M,Peter O'Leary,Translator,"an t-athair Peadar Ua Laoghaire, Canónach, S.P., do scrióbh ón sgéal Spainneach.",spa,
OL12534708M,Gustave Dore,Illustrator,,spa,
OL17076519M,,,"Migel' de Servantes Saavedra ; perevod s ispanskogo N. Li︠u︡bimova, stikhi v perevode I︠U︡. Korneeva",spa,
OL22937473M,,,"Migel' de Servantes Saavedra ; [illi︠u︡strat︠s︡ii G. Dore ; obrabotka, posleslovie i primech. B. M. Ėngel'gardta].h",spa,
OL24505681M,,,,spa,
OL6288569M,,,Compuesto por Miguel de Ceruantes Saauedra ...,,
OL9130054M,John Jay Allen,Editor,,,
OL24977711M,,,"Miguel de Cervantes ; edición y notas, Martín de Riquer ; ilustraciones, Antonio Mingote",,
OL24991969M,,,selección hecha por José R. Lonba; dibujos de F. Marco,,
OL24992120M,,,edicion ... arreglada ... por Domingo Abeja,,
OL1628259M,,,Miguel de Cervantes Saavedra ; estudio y notas de Juan Ignacio Ferreras.,,
OL3651468M,,,Miguel de Cervantes ; selección de Félix García Moriyón ; invitación y actividades de Cecilia Yepes.,,
OL6610563M,,,traduite de l'espagnol de Michel de Cervantes. Enrichie des belles figures dessinées de Coypel & gravées par Folkema & Fokke ...,,
OL13734919M,,,"traduitede l'Espagnol de Michel de Cervantes, enrichie des belles figures, dessine es de Coypel & gravees par Folkema & Fokke.",,
OL4509981M,,,Miguel de Cervantes Saavedra ; übers. von Ludwig Tieck ; mit Ill. von Gustave Doré.,,
OL13986911M,,,par Cervantes de Saavedra ; illustre e de 64 vignettes par Bertall et Forest.,,
OL6599320M,,,Por Miguel de Cervantes Saavedra.,,
OL25447347M,Hans Alexander Mueller,Illustrator,,spa,
OL25447347M,Peter Motteux,Translator,,spa,
OL25447346M,,,,spa,
OL22901380M,,,Serubantesu ; Aida Yū yaku.,spa,
OL22940916M,,,Miguel de Cervantes ; Andō Mikio yaku.,spa,
OL25413526M,,,,spa,
OL13735387M,,,,spa,
OL6283244M,,,by Miguel de Cervantes Saavedra; translated into English by Robinson Smith ...,spa,
OL27769800M,,,,spa,
OL19899025M,,,compuesto por Miguel de Cervantes Saavedra.,,
OL18526777M,,,Peadar Ua Laoghaire do sgríobh ón sgéal Spainneach.,spa,
