edition_key,contributor_name,contributor_role,by_statement,translated_from,translation_of
OL31129806M,,,Colleen Hoover,,
OL377544M,,,by William Goldman.,,
OL15125290M,,,abridged by William Goldman.,,
OL20947352M,,,by William Goldman.,,
OL17892075M,,,"the ""good parts"" version, abridged by William Goldman.",,
OL52236850M,Carolina Alvarado Graef,Translator,,eng,House of Earth and Blood
OL45128496M,Elizabeth Evans,Narrator/Reader,,,
OL35361326M,Arif Dursun,Translator,,eng,House of Earth and Blood
OL30342532M,Carolina Alvarado Graef,Translator,,eng,House of Earth and Blood
OL31979042M,Elizabeth Evans,Narrator/Reader,,,
OL24737464M,,,Jessica Steele,,
OL22380110M,,,Claudia Jameson.,,
OL21437817M,,,Penny Jordan.,,
OL18504626M,,,"the ""good parts"" version, abridged by William Goldman.",,
OL18587170M,,,"the ""good parts"" version, abridged by William Goldman.",,
OL3704385M,,,"the ""good parts"" version, abridged by William Goldman.",,
OL35618229M,Carolina Alvarado Graef,Translator,,eng,House of Earth and Blood
OL27925074M,Krisztina Szabó,Translator,,eng,House of Earth and Blood
OL56884344M,"Tú eres mi creador, pero yo soy tu dueño. - Mary Shelley, Frankenstein",Epigraph,,eng,Corrupt
OL56884344M,A Z. King,Dedicated to,,eng,Corrupt
OL39332831M,,,,eng,Hopeless
OL24238814M,,,by Margaret Way.,,
OL14976844M,,,by Margaret Way.,,
OL20161132M,,,William Goldman.,,
OL16771051M,,,abridged by William Goldman,,
OL22184538M,,,abridged by William Goldman.,,
OL21920251M,,,by William Goldman.,,
OL23273991M,,,by William Goldman.,,
OL28562969M,,,,eng,House of Earth and Blood
OL32388174M,Elizabeth Evans,Narrator/Reader,,,
OL32388173M,Elizabeth Evans,Narrator/Reader,,,
OL3475143M,,,J.R. Ward.,,
OL10691657M,,,Jessica Steele,,
OL27198876M,,,Colleen Hoover,,
OL56900534M,,,,eng,Twisted Hate
OL37736394M,Lara Agnelli,Translator,,eng,It ends with us
OL36214401M,Katarina Ganslandt,Translator,,eng,It ends with us
OL35891593M,Priscila Catão,Translator,,eng,It Ends With Us
OL35256642M,Erica van Rijsewijk,Translator,,eng,It ends with us
OL32956533M,Pauline Vidal,Translator,,eng,It Ends With Us
OL38095018M,Lara Agnelli,Translator,,eng,It Ends With Us
OL14979987M,,,by Marjorie Lewty.,,
OL1560669M,,,Sally Wentworth.,,
OL60629690M,,,,eng,November 9
OL21223496M,,,by Anne Mather.,,
OL40224862M,,,edited by Margarida Ferreira,eng,It Ends With Us
OL35366895M,,,,eng,It Ends With Us
OL32956532M,Priscila Catão,Translator,,eng,It Ends With Us
OL21366017M,,,Sally Wentworth.,,
OL14977002M,,,by Sally Wentworth.,,
OL52982047M,,,,eng,November 9
OL24238949M,,,Anne Mather.,,
OL40232570M,,,,eng,It Ends with Us
OL44897339M,Колин Гувер,Translator,,eng,It Ends With Us
OL30570882M,Gözde Soykan,Translator,,eng,It Ends With Us
OL28220059M,Olivia Song,Narrator/Reader,,,
OL24617972M,,,Jessica Steele,,
OL18879270M,,,Patricia Wilson.,,
OL18817321M,,,by Betty Neels.,,
OL14976794M,,,by Essie Summers.,,
OL14977575M,,,by Robyn Donald.,,
OL17434943M,,,by Robyn Donald.,,
OL24938967M,,,by Penny Jordan,,
OL24975286M,,,by Penny Jordan,,
OL21364996M,,,Sara Craven.,,
OL37048559M,박지선,Translator,,eng,It Ends With Us
OL27213498M,Laywan Kwan,Cover Design,,,
OL27213498M,Jon Shireman,Cover Photographer,,,
OL26604553M,Anna Gralak,Translator,,eng,It Ends With Us
OL21626306M,,,Jessica Steele.,,
OL18210485M,,,Sara Craven.,,
OL24210332M,,,by Robyn Donald,,
OL61375849M,Merel Leene,Translator,,eng,Destroy Me
OL14982019M,,,Sara Craven.,,
OL21221046M,,,by Robyn Donald.,,
OL21439489M,,,Penny Jordan.,,
OL14978532M,,,Lynne Graham.,,
OL18213797M,,,by Penny Jordan.,,
OL14978502M,,,by Penny Jordan.,,
OL17215320M,,,by Margaret Way.,,
OL14977519M,,,by Yvonne Whittal.,,
OL2738323M,,,Penny Jordan.,,
OL14977422M,,,by Penny Jordan.,,
OL24975909M,,,Emma Darcy,,
OL24972260M,,,Patricia Wilson,,
OL21222190M,,,by Margaret Way.,,
OL24959039M,,,by Margaret Way,,
OL21220748M,,,by Charlotte Lamb.,,
OL22400323M,,,Yvonne Whittal.,,
OL18427250M,,,by Penny Jordan.,,
OL24934924M,,,Penny Jordan,,
OL24937157M,,,Patricia Wilson,,
OL17411916M,,,Emma Darcy.,,
OL18051267M,,,Emma Darcy.,,
OL24939124M,,,Emma Darcy,,
OL14977710M,,,by Margaret Way.,,
OL24967698M,,,by Betty Neels,,
OL14977156M,,,by Betty Neels.,,
OL20130268M,,,by Penny Jordan.,,
OL1982402M,,,by Emma Darcy.,,
OL24951976M,,,Patricia Wilson,,
OL1612903M,,,by Sally Wentworth.,,
OL14977254M,,,by Roberta Leigh.,,
OL27184908M,,,Anna Todd,,
OL16522168M,,,Patricia Wilson.,,
OL21220907M,,,by Jessica Steele.,,
OL22384649M,,,Penny Jordan.,,
OL1882868M,,,Penny Jordan.,,
OL32132143M,,,Penny Jordan,,
OL14977564M,,,by Penny Jordan.,,
OL14982026M,,,Penny Jordan.,,
OL31882114M,,,by Lynne Graham,,
OL24929928M,,,by Lynne Graham,,
OL14977691M,,,by Robyn Donald.,,
OL46535310M,,,,,Haunting Adeline
OL27180374M,,,Anna Todd ; traduit de l'américain par Claire Sarradel,,
OL14980492M,,,by Sara Craven.,,
OL20121316M,,,by Penny Jordan.,,
OL20501301M,,,Penny Jordan.,,
OL26320905M,,,Anna Todd,,
OL14978700M,,,by Betty Neels.,,
OL36639394M,María Cristina Martín Sanz,Translator,,eng,"Red, White & Royal Blue"
OL27270721M,Raegan Labat,Author Photographer,,,
OL27270721M,Colleen Reinhart,Cover Art and Illustrations,,,
OL27270721M,Colleen Reinhart,Cover Design,,,
OL27270721M,Anna Gorovoy,Designer,,,
OL24208250M,,,Betty Neels,,
OL47806732M,,,,eng,Twisted game
OL18107578M,,,Penny Jordan.,,
OL24947317M,,,Penny Jordan,,
OL20501381M,,,Penny Jordan.,,
OL24936582M,,,Carole Mortimer,,
OL35717544M,,,L.M. Montgomery ; trad. de l'anglais par Hélène Le Beau,,
OL37749967M,,,L.M. Montgomery,,
OL35330489M,,,L.M. Montgomery,,
OL27160911M,,,L.M. Montgomery,,
OL22921691M,,,Menggemali zhu ; Li Fangdai yi.,,
