author_key,author_alternative_name
OL7115219A,Maas Sarah J
OL7115219A,Сара Маас
OL7115219A,Сара Дж. Маас
OL7115219A,SARAH MAAS
OL7115219A,Sara Dž. Mas
OL4728806A,Sheila Coates
OL4728806A,Sheila Holland
OL4728806A,Victoria Woolf
OL4728806A,Sheila Lancaster
OL4728806A,Laura Hardy
OL4728806A,Charlotte LAMB
OL4728806A,Charlotte. Lamb
OL4728806A,Charlotte Lamb
OL4728806A,Victoria Wolf
OL4728806A,LAMB Charlotte
OL4728806A,LAMB CHARLOTTE
OL4728806A,CHARLOTTE LAMB
OL664669A,Doreen Hornsblow
OL9180803A,"Huang, Ana"
OL661093A,Penelope Jones Halsall
OL661093A,Caroline Courtney
OL661093A,Lydia Hitchcock
OL661093A,Melinda Wright
OL661093A,Penny Jordan
OL661093A,Annie Groves
OL661093A,Penny Jordan ... [et al.]
OL661093A,penny-jordan
OL661093A,Jordan Penny
OL661093A,"JORDAN,PENNY"
OL661093A,Jordan; Penny
OL661093A,Penny.- JORDAN
OL7544679A,"Simone, Sierra"
OL7315784A,Margaret Colleen Fennell
OL7315784A,Margaret Fennell
OL7315784A,Colleen Fennell
OL7315784A,Margaret Hoover
OL7315784A,콜린 후버
OL7315784A,C. Hoover
OL7315784A,Cooleen Hoover
OL7315784A,Hoover  Colleen
OL7315784A,Collen Hoover
OL7315784A,Collen hoover
OL7315784A,coollen hoover
OL1006974A,Margaret ROME
OL12751471A,Gu lingerie
OL12751471A,Gu Linfgfei
OL3319143A,Anne Mather (pseud.)
OL3319143A,Cardine Fleming (pseud.)
OL3319143A,Caroline Fleming (pseud.)
OL3319143A,Mildred Grieveson
OL3319143A,Ann Mather
OL811660A,"Reid, Michelle"
OL577983A,Anne Bushell Thomas Ashurst
OL577983A,Anne Bushell
OL577983A,Anne Thomas
OL577983A,Anne Ashurst
OL577983A,"CRAVEN,SARA"
OL577983A,SARA CRAVEN
OL577983A,sara craven
OL577983A,"Ashurst, Anne"
OL577983A,"Craven, Sara"
OL577983A,"Craven, Sarah"
OL577983A,"Cravenová, Sara"
OL577983A,"Kreiven, Sara"
OL577983A,"Krīfn, Sāra"
OL577983A,Sara Craven (British writer)
OL577983A,"Thomas, Anne"
OL577983A,سارة كريفن
OL577983A,كريفن، سارة،
OL577983A,"クレイヴン, サラ"
OL39485A,L. M. (Lucy Maud) Montgomery
OL39485A,L. M Montgomery
OL39485A,L M Montgomery
OL39485A,L M. Montgomery
OL39485A,Maud Montgomery
OL39485A,L. M. Montgomery
OL39485A,L.M. Montgomery
OL39485A,Lucie Maud Montgomery
OL39485A,"(jia) Meng, ge ma li"
OL39485A,L. Montgomery
OL39485A,Lucy M. Montgomery
OL39485A,Lucy Montgomery
OL39485A,L. M. L. M. Montgomery
OL39485A,L. M. L.M. Montgomery
OL39485A,Montgomery L. M.
OL39485A,L. M. 1874-1942 Montgomery
OL39485A,"Montgomery, L. M. Lucy Maud, 1874-1942"
OL39485A,Montgomery L M
OL39485A,L. M. MONTGOMERY
OL39485A,L M Montgomery:
OL39485A,L. M. Lucy Maud Montgomery
OL39485A,L. M. Montgomery Montgomery
OL39485A,L M. 1874-1942 Montgomery
OL39485A,"Montgomery, L. M., P, S R"
OL39485A,montgomery l. m.
OL39485A,L. M. (Lucy Maud) 1874-1 Montgomery
OL39485A,Montgomery L M (Lucy Maud)
OL39485A,L M MONTGOMERY
OL39485A,Lucy Maud Montgomery L. M. Montgomery
OL39485A,L. M MONTGOMERY
OL39485A,"Montgomery, Lucy Maud, Montgomery, L. M."
OL39485A,Lucy (L. ) Maud (M. ) Montgomery
OL39485A,Montgomery L. M
OL39485A,Montgomery Lucy Maud
OL39485A,Lucy Maud Montogmery
OL39485A,Lucy Maud. Montgomery
OL39485A,Lucy Maud MONTGOMERY
OL39485A,Lucy Maud Montogomery
OL39485A,"(jia) Meng, ge ma li (Montgomery, Lucy Maud"
OL39485A,Lucy Maud Mntgomery
OL39485A,LUCY MAUD MONTGOMERY
OL39485A,"Lucy Maud Montgomery,L.M. Montgomery"
OL39485A,Lucy Maud Lucy Maud Montgomery
OL39485A,"Lucy Maud, Montgomery,"
OL39485A,Lucy Maud Montgomery`
OL39485A,Lucy Maud Lucy Maud
OL39485A,Lucy Maud Montgomery Montgomery
OL39485A,Lucy Maud Montgomery CBE
OL39485A,MONTGOMERY LUCY MAUD
OL39485A,Lucy Maud LUCY MAUD MONTGOMERY
OL39485A,"Montgomery, Lucy Maud"
OL39485A,"MONTGOMERY,LUCY MAUD"
OL39485A,"Montgomery,Lucy Maud"
OL39485A,lucy maud montgomery
OL39485A,LM Montgomery
OL39485A,Lm Montgomery
OL39485A,Lucy Maude Montgomery
OL39485A,LUCY MONTGOMERY
OL39485A,LUCY MAUDE MONTGOMERY
OL39485A,Lucy M. montgomery
OL39485A,Lucy MONTGOMERY
OL39485A,Lucy M. . Montgomery
OL39485A,Lucy Maudd Montgomery
OL39485A,lucy moud Montgomery
OL39485A,L.M Montgomery
OL39485A,L Montgomery
OL39485A,"(jia) Meng, ge ma li (Montgomery, L.)"
OL39485A,L.m. Montgomery
OL39485A,L. Maud Montgomery
OL39485A,Luci Maud Montgomery
OL39485A,LucyMaud Montgomery
OL39485A,L.M. MONTGOMERY
OL39485A,"Montgomery,L.M."
OL39485A,Montgomery L.M.
OL39485A,R.M. Menggemali
OL39485A,Menggemali
OL39485A,L.M.Montgomery
OL39485A,L. M. Montgomary
OL39485A,Meng ge ma li
OL39485A,"(jia na da) Meng, ge ma li"
OL39485A,Lucy MaudMontgomery Lucy MaudMontgomery
OL39485A,L.M.Montgomery:
OL39485A,Emily Climbs
OL39485A,Lucy Montgomer
OL39485A,L. M. M. ontgomery
OL39485A,L. M. Montgomery&nbsp;
OL39485A,Locy Montgomery
OL39485A,l.m. montgomery
OL39485A,L.M. MOntgomery
OL39485A,L.M MOntgomery
OL39485A,"Lucy, Maud Montgomery"
OL39485A,Maud Lucy Montgomery
OL39485A,Lucy Maud Montgomery Maud Montgomery
OL39485A,Lucy M. Lucy M. Montgomery
OL39485A,L M 1874-1942 Montgomery
OL39485A,"L. M. Montgomery,Giancarlo Malagutti,C. W. Cooke"
OL194979A,Marjorie Lobb Lewty
OL194979A,Marjorie Lewty
OL584494A,Lilian Margaret Peake
OL584494A,Lilian Epton
OL575932A,Betty A. Neels
OL575932A,BETTY NEELS
OL575932A,Betty NEELS
OL575932A,Neels
OL575932A,B. Neels
OL575932A,Batty Neels
OL575932A,"Neels, Etc, Betty"
OL575932A,"Neels,Betty"
OL1120447A,Jessica Rowley Pell Bird Blakemore
OL1120447A,Jessica Bird
OL1120447A,J. R. Ward
OL1120447A,J.R.. Ward
OL1120447A,J.R. Ward
OL1120447A,J R Ward
OL1120447A,J-R Ward
OL1120447A,WARD J. R
OL1120447A,J.r. Ward
OL1120447A,Ward J. R
OL1120447A,ward-j-r
OL2763201A,Patricia Wilson
OL2763201A,Patricia Grace Wilson
