author_key,author_alternative_name
OL18319A,editor Mark Twain; Charles Neider
OL18319A,"Twain, Mark, and Vogel, Malvina G (Edited by)"
OL18319A,"Twain, Mark; Clemens, Cyril [Editor]; Sandburg, Carl [Foreword]"
OL18319A,Mark Twain Patricia Hutchinson
OL18319A,"Clemens, Samuel (twain, Mark); illustrated by Guilbeau, Honore"
OL18319A,"Clemens, Samuel (twain, Mark)"
OL18319A,ed Mark twain; Dixon Wecter
OL18319A,"Twain, Mark Hugo, Victor"
OL18319A,"Mark Twain, Johanna Spyri, Anna Sewell, Hans Christian Andersen By Mark Twain, Johanna Spyri, Anna Sewell, Hans Christian Andersen"
OL18319A,"Twain, Mark, Illustrated By Donald McKay"
OL18319A,"Clemens, Samuel Langhorne (Mark Twain); Bradley, Sculley; Beatty, Richmond Croom; Long, E Hudson (Editors)"
OL18319A,"Clemens, Samuel Langhorne (Mark Twain)"
OL18319A,"Mark Twain,Wilkie Collins,John Brougham"
OL18319A,Mark Twain (Samuel L. Clemens) and Charles Dudley Warner
OL18319A,Mark Twain (Samuel L. Clemens)
OL18319A,Mark Twain and Charles Dudley Warner
OL18319A,"mark Twain"". George Ade, James Whitcomb Riley, Joel Chandler Harris, ""mr. Dooley"
OL18319A,Mark Tawain
OL18319A,Samuel L. Clemens and Jo Polseno
OL18319A,"Mark Twain, Josh Billings, Robt. J. Burdette, Alex Sweet and Melville D. Landon"
OL18319A,Samuel L. Clemens and Charles D. Warner
OL18319A,Samuel L. Clemens & Clara Gabrilowitsch
OL18319A,"Twain, Mark and Warner, Charles Dudley"
OL18319A,mark twain and charles dudley warner
OL18319A,mark twain
OL18319A,"Twain, Mark, Illustrated by Cover Art"
OL18319A,MARK TWAIN
OL18319A,Samuel Langhorne Clemens Mark Twain
OL18319A,"Twain, Mark (With an introduction by Roy Blount, Jr.)"
OL18319A,Mark twain
OL20452A,Amanda Glass (pseud.)
OL20452A,Amanda Quick (pseud.)
OL20452A,Jane Ann Krentz
OL20452A,Jayne Ann Castle
OL20452A,Jayne Bentley (pseud.)
OL20452A,Jayne Castle (pseud.)
OL20452A,Jayne Taylor (pseud.)
OL20452A,Stephanie James (pseud.)
OL27843A,Patricia Neal
OL93118A,Lispector
OL93118A,Clarise Lispector
OL93118A,Chaya Pinkhasivna Lispector
OL93118A,חיה פּינקאַסיװנאַ ליספּעקטאָר
OL93118A,Хая Пінкасівна Ліспектор
OL93118A,Helen Palmer
OL93118A,Teresa Quadros
OL219597A,Le fu
OL219597A,Gastón Leroux
OL219597A,Gaston LeRoux
OL219597A,Gaston Louis Alfred Leroux
OL219597A,"Leroux, Gaston"
OL219597A,gaston leroux
OL219597A,Gaskon Leroux
OL219597A,Gastón Louis Alfred Leroux
OL219597A,Gaston LEROUX
OL219597A,Gaston Gaston Leroux
OL219597A,Leroux. Gaston
OL219597A,"Gaston ""Leroux """
OL219597A,C. Leroux
OL849503A,Rita Shulman Lewin
OL849503A,Janey Scott
OL849503A,Rachel Lindsay
OL849503A,Rozella Lake
OL849503A,ROBERTA LEIGH
OL849503A,roberta leigh
OL31574A,Clive Staples Lewis
OL31574A,C. S. 루이스
OL31574A,C·S·路易斯
OL31574A,C・S・ルイス
OL31574A,Klaivas Steplesas Lujis
OL31574A,Klaivs Steiplss Lūiss
OL31574A,Klayv Steyplz Lyuis
OL31574A,Κ. Σ. Λιούις
OL31574A,Κλάιβ Στέιπλς Λιούις
OL31574A,К. С. Луис
OL31574A,К. С. Льюис
OL31574A,Клайв Льюис
OL31574A,Клайв Стайплс Луис
OL31574A,Клайв Стейплз Льюис
OL31574A,Клайв Стейплз Льюїс
OL31574A,Клайв Стейпълс Луис
OL31574A,Клайв Стэйплз Льюіс
OL31574A,Քլայվ Սթեյփլս Լյուիս
OL31574A,ק. ס. לואיס
OL31574A,ק.ס. לואיס
OL31574A,קלייב סטפלס לואיס
OL31574A,سى. اس. لويس
OL31574A,سي. إس. لويس
OL31574A,سي. اس. لوئیس
OL31574A,سی ئێس لویس
OL31574A,سی ایس لوئس
OL31574A,سی. اس. لوئیس
OL31574A,सि. यस. लिविस्
OL31574A,सी.एस. लुईस
OL31574A,সি. এস. লিউইস
OL31574A,ਸੀ ਐਸ ਲੂਇਸ
OL31574A,సి. ఎస్. లూయిస్
OL31574A,ซี. เอส. ลิวอิส
OL31574A,კლაივ ლუისი
OL31574A,კლაივ სტეიპლზ ლუისი
OL31574A,ክላይቭ ሉዊስ
OL31574A,克利夫·史戴普·路易斯
OL31574A,魯益師
OL31574A,C.S LEWIS
OL1385348A,patricia briggs
OL1385348A,Patricia Briggs (author)
OL29466A,Anni Ernaux
OL29466A,Annie Duchesne
OL29466A,Annie Thérèse Blanche Duchesne
OL581595A,"MARTON,SANDRA"
OL581595A,Marton Sandra
OL581595A,sandra marton
OL19450A,Adeline Virginia Woolf
OL19450A,"Virginia, Woolf"
OL19450A,Virginia woolf
OL19450A,woolf-virginia
OL19450A,Virginia
OL19450A,Stephen Woolf
OL19450A,VIRGINIA WOOLF
OL19450A,V WOOLF
OL19450A,Virgina Woolf
OL19450A,V. Woolf
OL19450A,Virginia Virginia Woolf
OL19450A,Virginia WOOLF
OL19450A,Virginia VIRGINIA WOOLF
OL19450A,Virginia Woolf Woolf
OL19450A,Virgínia Woolf
OL19450A,Virginia Woolf Virginia Woolf
OL19450A,Virginia (1882-1941) Woolf
OL19450A,Woolf Virginia
OL19450A,Virginia) (Woolf
OL19450A,Virginia 1882-1941 Woolf
OL19450A,WOOLF VIRGINIA
OL19450A,"WOOLF,VIRGINIA"
OL19450A,Woolf Woolf
OL19450A,virginia woolf
OL19450A,VIrginia Woolf
OL7494548A,"Susanne Valenti,Caroline Peckham"
OL7494548A,"Susanne Valenti, Caroline Peckham"
OL7494548A,Susanne Valenti and Caroline Peckham
OL7494548A,"Peckham, Caroline"
OL7494548A,Miss Caroline Patricia Peckham
OL7494548A,Caroline Patricia Peckham
OL7494548A,Peckham & Peckham & Valenti
OL7494548A,Peckham & Valenti
OL7494548A,Peckham
OL3292941A,H. Bianchin
OL3292941A,Helen Bianchin
OL3292941A,Helen Shirley Bianchin
OL3292941A,Helen. Bianchin
OL3292941A,Bianchin
OL3292941A,"Bianchin, Helen"
OL26235A,Jane (Aiken) Hodge
OL26235A,Jane Aiken HODGE
OL3024474A,Elizabeth Mary Teresa Hunter de Guise
OL3024474A,Elizabeth Hunter
OL3024474A,Elizabeth de Guise
OL3024474A,Isobel Chase
OL8127199A,Parker S Huntington
OL48139A,Владимир Набоков
OL48139A,Владимир Владимирович Набоков
OL48139A,Vladimir Vladimirovich Nabokov
OL48139A,V. Nabokov
OL48139A,V.V. Nabokov
OL48139A,Vladimir V. Nabokov
OL48139A,Влади́мир Влади́мирович Набо́ков
OL48139A,弗拉基米尔·纳博科夫
OL48139A,Nabokefu
OL48139A,Vladimir Vladimirovič Nabokov
OL48139A,VLADIMIR NABOKOV
OL48139A,vladimir nabokov
OL48139A,Vladimir nabokov
OL48139A,Vladimir Nobokov
OL48139A,Nabokov Vladimir
OL48139A,Vladmir Nabokov
OL48139A,Vladímir Nabokov
OL48139A,Valdimir Nabokov
OL48139A,Vladimer Nabokov
OL48139A,NABOKOV
OL48139A,Nabokov V.
OL48139A,В. Набоков
OL48139A,Vladimir Nabokov
OL48139A,Nabokov Vladimir Vladimirovich
OL48139A,Vladimir NABOKOV
OL48139A,Vadimir Nabokov
OL1122624A,"Graham, Elizabeth"
OL1122624A,Elizabeth GRAHAM
OL1122624A,Elizabeth. Graham
OL1437085A,"Fox, Susan"
OL395577A,Ethel Snelson Summers
OL395577A,essie summers
OL7032054A,L. Bardugo
OL7032054A,"BARDUGO,LEIGH"
OL7032054A,Лі Бардуго
OL7032054A,Лі Бардуґо
OL7032054A,Li Bardugo
OL7320009A,Lauren Christina
OL6895646A,Veronica Anne Roth
OL6895646A,Wei Luo Ni Ka Luo Si
OL6895646A,roth veronica
OL6895646A,Roth Veronica
OL1391136A,Emilie (Baker) Loring
OL1391136A,Emilie Loring
OL1391136A,Emilie LORING
OL1391136A,Emily Baker Loring
OL1391136A,Emily Loring
OL1391136A,EMILIE LORING
OL1391136A,emilie loring
OL1391136A,Loring Emilie
OL1391136A,Loring
OL1391136A,Emile Loring
OL1391136A,Emilie LOring
OL1391136A,Loring                       E
OL1391136A,emile loring
OL1391136A,EMILLIE LORING
OL1391136A,EMELIE LORING
OL1553131A,E. M. Hull
OL1553131A,Edith M. Hull
OL1553131A,Edith Maude Henderson Winstanley Hull
OL1553131A,Edith Maude Henderson
OL1553131A,Ethel M. Hull
OL7290290A,Ashley Herri Blake
OL7290290A,ASHLEY HERRING BLAKE
OL2010150A,Elizabeth Mary Teresa Hunter de Guise
OL2010150A,Elizabeth de Guise
OL2010150A,Isobel Chase
OL23342A,Justine Cole
OL23342A,Justine Cane
OL727794A,Connie MASON
OL727794A,"Mei sen (Mason, Connie)"
OL727794A,"Ma sen (Mason, Connie)"
OL727794A,Cara Miles
OL32271A,Теодор Драйзер
OL805240A,Claudia. Jameson
OL805240A,Claudia JAMESON
OL584495A,Emma Elizabeth Jeam Sutcliffe Goldrick
OL584495A,Robert N. Goldrick
OL531502A,Gerrold Watkins
OL531502A,"Gabaldon, Diana"
OL531502A,Diana Gabaldon (author)
OL531502A,diana gabaldon
OL531502A,D Gabaldon
OL531502A,Gabaldon Diana
OL531502A,DIANA GABALDON
OL531502A,Diana GABALDON
OL531502A,GABALDON DIANA
OL8384995A,Freida Mcfadden
OL8384995A,"McFadden, Freida"
OL6787970A,Dare Tessa
OL6787970A,tessa dare
OL40770A,Maxwell Cathy
OL34047A,Dame Daphne du Maurier Browning
OL34047A,Daphne DuMaurier
OL34047A,Daphne Maurier du
OL34047A,Daphne Du Maurier
OL34047A,Daphné du Maurier
OL34047A,Daphne DU MAURIER
OL34047A,Дафна де Морье
OL34047A,Maurier Du Daphne
OL34047A,Daphné du MAURIER
OL34047A,Dame Daphne Du Maurier
OL34047A,DAPHNE DU MAURIER
OL34047A,daphne du maurier
OL34047A,Du Maurier Daphné
OL34047A,Du Maurier. Daphne
OL34047A,DU MAURIER DAPHNE
OL34047A,MAURIER Daphné DU
OL34047A,Daphné Du Maurier
OL34047A,Dame Du Maurier Daphne
OL34047A,"Du Maurier, Daphne, Dame"
OL34047A,DU MAURIER Daphne -
OL34047A,Daphne Dame Du Maurier
OL34047A,Д. Дюморье
OL34047A,Дафна Дюморье
OL34047A,D. Du Maurier
OL34047A,Dphne Du Maurier
OL34047A,du maurier
OL34047A,Daphne Dumaurier
OL34047A,Du Maurier D
OL34047A,daphne de Maurier
OL34047A,D Maurier
OL34047A,D Du Maurier
OL34047A,Maurier Du
OL34047A,Du Maurier
OL34047A,Daphne Maurier
OL34047A,D du Maurier
OL34047A,Daphn Du Maurier
OL34047A,Daphne duMaurier
OL34047A,D. DU MAURIER
OL34047A,Maurier Daphné Du
OL34047A,Du Maurier Daphne
OL34047A,Daphne du maurier
OL34047A,daphne du Maurier
OL6898863A,Edward Morgan Forster
OL6898863A,Edward M. Forster
OL6898863A,Forster E. M
OL6898863A,Em Forster
OL6898863A,EM Forster
OL6898863A,E. Morgan Forster
OL6898863A,E.M. Forster
OL6898863A,FORSTER-E.M
OL6898863A,E.M. FORSTER
OL6898863A,FORSTER (E.M.)
OL6898863A,Forster E.M.
OL6898863A,FORSTER (E.M).
OL6898863A,E.M Forster
OL6898863A,e.m. forster
OL6898863A,E.M. Forster Michael Oakley
OL6898863A,E.m. Forster
OL6898863A,"Forster,E.M."
OL6898863A,E M Forster
OL6898863A,E. M Forster
OL22263A,Mary Jenkins
OL22263A,Mary Jenkins Balogh
OL7399550A,Karen M. McManus (author)
OL7399550A,Karen M McManus
OL7399550A,McManus Karen M.
OL7399550A,"McManus, Karen M."
OL7399550A,"McManus, Karen M"
OL7399550A,Karen M.McManus
OL19441A,Józef Teodor Konrad Korzeniowski
OL19441A,Conrad/Joseph
OL19441A,Joseph CONRAD
OL19441A,JOSEPH CONRAD
OL19441A,Jospeh Conrad
OL19441A,J. Conrad
OL19441A,Conrad                       J
OL19441A,joseph-conrad
OL19441A,Joseph. Conrad
OL19441A,"Kang la de (Conrad, Joseph, 1857-1924)"
OL19441A,Джозеф Конрад
OL19441A,"Conrad, Joseph [1857 - 1924]. Adams, J. Donald - Introduction."
OL19441A,Joseph 1857-1924 Conrad
OL19441A,"Conrad, Joseph, 1857-1924"
OL19441A,"Conrad, Joseph, 1857-1924."
OL19441A,Joseph conrad
OL19441A,Conrad Joseph
OL19441A,Mr Joseph Conrad
OL19441A,Joseph Joseph Conrad
OL19441A,Joseph Conrad Conrad
OL19441A,"Joseph ""Conrad """
OL19441A,Joseph Conrad Joseph Conrad
OL19441A,by Joseph Conrad
OL19441A,joseph conrad
OL19441A,"Conrad,Joseph"
OL19441A,"Conrad,Joseph."
OL19441A,Conrad. Joseph
OL19441A,"CONRAD,Joseph"
OL19441A,"CONRAD,JOSEPH"
OL19441A,CONRAD JOSEPH
OL19441A,Joseph Conrad (Author); Edward A. Weeks (Introduction)
OL19441A,JOSEPH CONRAD ( Complete Works )
OL19441A,Joseph Conrad Staff
OL26783A,Leo Tolstoy
OL26783A,"Толстой, Лев, граф"
OL26783A,граф Лев Толстой
OL26783A,Count Lev Nikolayevich Tolstoy
OL26783A,Leo N. Tolstoj
OL26783A,L. N. Tolstoy
OL26783A,L.N. Tolstoy
OL26783A,Lev Tolstoy
OL26783A,"TOLSTOY, LEO, GRAF, 1828-1910."
OL26783A,"Tolstoy, Leo graf"
OL26783A,Leo  Tolstoy
OL26783A,LEO TOLSTOY
OL26783A,Leo TOLSTOY
OL26783A,"Leo, N. Tolstoy"
OL26783A,Count Leo Tolstoy
OL26783A,"Leo, N Tolstoy"
OL26783A,Leo Nicholeyevich Tolstoy
OL26783A,Leo N. Tolstoy
OL26783A,TOLSTOY LEO NIKOLAY
OL26783A,"Tolstoy, Leo Graf"
OL26783A,graf Leo Tolstoy
OL26783A,"Leo Nikoleyevich, Tolstoy"
OL26783A,Leo Nikoleyvich Tolstoy
OL26783A,"Tolstoy, Leo Nikolaevitch Graf"
OL26783A,"Tolstoy, Leo, graf, 1828-1910."
OL26783A,Leo graf Tolstoy
OL26783A,"Tolstoy, Lev Nikolaevich Graf"
OL26783A,Leon Tolstoy
OL26783A,Tolstoy.
OL26783A,LEV NIKOLAEVICH TOLSTOY
OL26783A,Lev Nikolaevich Tolstoi
OL26783A,Tolstoi
OL26783A,L. N. Tolstoi
OL26783A,Count Leo Tolstoi
OL26783A,L N Tolstoi
OL26783A,Lev Nikolaewitsch Tolstoi
OL26783A,"tolstoi, Lev Nikolaevich Count."
OL26783A,"Tolstoi, Leonid Count"
OL26783A,Lev Nikolaivich Tolstoi
OL26783A,L N. Tolstoi
OL26783A,"Tolstoi, Lev Nikolaevich Count."
OL26783A,Leo Tolstoi
OL26783A,Lev Nikolaévitch Tolstoi
OL26783A,"Tolstoi, Lev Nikolaevich graf"
OL26783A,L.N. Tolstoi
OL26783A,L. Tolstoj
OL26783A,Lev Tolstoj
OL26783A,Lev Nikolaevič Tolstoj
OL26783A,Tolstoy
OL26783A,L. Tolstoy
OL26783A,Léon Tolstoï
OL26783A,L. N. Tolstoĭ
OL26783A,León Tolstói
OL26783A,Lev Nikolayevich Tolstoy
OL26783A,Leone Tolstoy
OL26783A,L Tolstoy
OL26783A,count lev n. tolstoy
OL26783A,"Tolstoĭ, Lev Nīkolaevīch graf"
OL26783A,Lev Nikolaevich Tolstoï
OL26783A,"Tuo er si tai (Tolstoy, Leo, graf, 1828-1910)"
OL26783A,Tolstoy Leo Graf
OL26783A,Leo Tolstoy (graf)
OL26783A,Leo Nikolayevich Tolstoy
OL26783A,Graf Leo Tolstoy
OL26783A,L. N. Lev Nikolaevich Tolstoĭ
OL26783A,"Tolstoĭ, Lev Nikolaevich graf"
OL26783A,L. N. Tolstoï
OL26783A,L.N Tolstoĭ
OL26783A,L. N. Tołstoĭ
OL26783A,Leo N Tolstoi
OL26783A,Lev Tolstoi
OL26783A,Leo N. Tolstoi
OL26783A,L. Tolstoi
OL26783A,Lew Tolstoi
OL26783A,Leon Tolstoi
OL26783A,Lev Nikolaevich TolstoI
OL26783A,León Tolstoi
OL26783A,Leone Tolstoi
