author_key,author_name,bio,birth_date,death_date,birth_year,death_year
OL3352964A,Chloe Walsh,"​Chloe Walsh is the NYT and USA Today bestselling author of The Boys of Tommen series, which exploded in popularity on TikTok, Goodreads, and Amazon. She has been writing and publishing New Adult and Adult contemporary romance for mature audiences for over a decade. Her Tommen series has been translated into multiple languages around the world, finding bestselling success in several countries. Chloe focuses heavily on the mental health dynamics of her characters, shining a light on important, real-life topics that are close to her heart. Heavily influenced by her own real life experiences, she pens tearjerking, and often harrowing narratives, giving another perspective to, often, unspoken everyday issues. Chloe hails from West Cork, Ireland, where she continues to reside with her family.",,,,
OL391839A,James Baldwin,"**James Arthur Baldwin** was an American novelist, writer, playwright, poet, essayist and civil rights activist. Most of Baldwin's work deals with racial and sexual issues in the mid-20th century in the United States. His novels are notable for the personal way in which they explore questions of identity as well as the way in which they mine complex social and psychological pressures related to being black and homosexual well before the social, cultural or political equality of these groups was improved.

Source and more information: <https://en.wikipedia.org/wiki/James_Baldwin>",2 August 1924,30 November 1987,1924,1987
OL7364499A,Renée Ahdieh,"Renée Ahdieh is an American-Korean author, best known for her New York Times best-selling series The Wrath & the Dawn. Her books have been translated into many languages.",1983,,1983,
OL22994A,Catherine Coulter,"Jean Catherine Coulter was born on 26 December 1942 in Cameron County, Texas, USA, where she grew up in a horse ranch. She graduated from the University of Texas and earned a degree at Boston College in early 19th-century European History.

Catherine married Anton Pogany, a medical student, and she took a job as a speech writer for a Wall Street company president. She spent many of her evenings alone, reading romance novels. One night when they were home together, she found herself in the middle of a particularly bad book and threw it across room, asserting that even she could do better. Her husband challenged her to prove herself, and the two spent the weekend plotting out a storyline for a gothic romance. Coulter wrote the novel in the evenings, and when she finish it, she sent it to an editor at Signet. Her novel ""The Autumn Countess"" was published in 1978. She says that chose a Regency romance for her debut because: ""as any published author will tell you, it's best to limit the unknowns in a first book, and not only had I grown up reading Georgette Heyer, but I earned my M.A. degree in 19th century European History."". She became a bestseller novelist, and she earned her reputation writing historical romances, but now also writes contemporary romances.

Catherine lives in Marin County, California with her husband, Anton Pogany, now a physician.",26 December 1942,,1942,
OL6624873A,Dick Hill,,,,,
OL7387940A,Becky Chambers,,3 May 1985,,1985,
OL20921A,Barbara Hazard,"Barbara (Booth) Hazard, a resident of Exeter, NH, died on October 25, 2019 in Boston, MA surrounded by family. Born in 1931 in Fall River, MA, the daughter of Albert L. and Lillian (Holland) Booth, she was raised and educated in New England. She graduated from Rhode Island School of Design in 1953 and was briefly employed by Ginn & Company in Boston as a Technical Editor. She married Donald T. Hazard in 1954 and next worked as a Graphic Designer/Artist for a Concord, NH advertising firm.

Originally trained as a musician, Mrs. Hazard also studied oil painting with Amy Jones and for a time had several shows in New York and Vermont. She began to write historical fiction in 1978. First published in 1981, she went on to write and publish 48 books, several of which are also in circulation abroad. She won several awards for her writing.

Mrs. Hazard wrote that there were several things in her life that she was most proud of; being Concertmaster of the MA All State Orchestra in Symphony Hall in Boston, having a successful career as an artist and as a writer, which was her greatest love besides her husband, three sons and their wives.


She loved New England and in particular, Cape Cod, which she visited every year for most of her life. Her other loves included her family, reading and music.",19 July 1931,25 Oct 2019,1931,2019
OL659926A,Natalie Fox,,,,,
OL1386238A,Jennifer Ashley,"Jennifer Ashley Gardner dreamed of being a published writer since the age of eight, writing love stories before she knew what romances were. She wrote fantasy and science fiction while in college, and after obtaining her master's degree in English literature, and a job in the real world, she decided to stop dreaming and try to be a full-time published author. 

She published the first short story she ever submitted in Marion Zimmer Bradley's Fantasy Magazine, which gave her the false illusion that getting published was easy. After many more submissions and rejections, she sold her first novel in 2002, and made her second sale to Berkley with a series of historical mysteries. She writes historical, paranormal, and contemporary romance as Jennifer Ashley; mysteries as Ashley Gardner; and paranormal romance and urban fantasy as Allyson James. Her novels have won RWA's RITA award, the Golden Quill, RT Reviewer's Choice awards, and the Prism award, among others. Her novels have been also been translated into nearly a dozen European and Asian languages.
 
She has traveled and lived all over the world, including in Europe and Japan, and now resides in sunny Arizona with her soul mate, an avid reader himself, in a houseful of books. She enjoys writing and reading above all else, but her hobbies include cooking, hiking, playing flute and guitar, painting, and building miniature rooms and dollhouses.",1972,,1972,
OL770235A,Ellen Fitzgerald,,,1991,,1991
OL1423334A,Kim Lawrence,,,,,
OL661093A,Penny Jordan,"Penelope ""Penny"" Jones was born on 24 November 1946 at about seven pounds in a nursing home in Preston, Lancashire, England. She was the first child of Anthony Winn Jones, an engineer, who died at 85, and his wife Margaret Louise Groves Jones. She has a brother, Anthony, and a sister, Prudence ""Pru"". 

She had been a keen reader from the childhood - her mother used to leave her in the children's section of their local library whilst she changed her father's library books. She was a storyteller long before she began to write romantic fiction. At the age of eight, she was creating serialised bedtime stories, featuring make-believe adventures, for her younger sister Prue, who was always the heroine. At eleven, she fell in love with Mills & Boon, and with their heroes. In those days the books could only be obtained via private lending libraries, and she quickly became a devoted fan, and was thrilled to bits when the books went on full sale, in shops and she could have them for keeps. 

Penny left grammar school in Rochdale with O-Levels in English Language, English Literature and Geography. She first discovered Mills & Boon books, via a girl she worked with. She married Steve Halsall, an accountant and a ""lovely man"", who smoked and drank too heavily, suffered oral cancer with bravery and dignity. Out of his own money, and at a time when he could ill afford it, her late husband bought her the small electric typewriter on which she typed her first novels. Her husband died at the beginning of the 21st century. 

She has earned a living as a writer since the 1970s when, as a shorthand typist, she entered a competition run by the Romantic Novelists' Association. Although she didn't win, Penny found an agent who was looking for a new Georgette Heyer. She published four regency novels as Caroline Courtney, before changing her nom de plume to Melinda Wright for threebair-hostess romps and then she wrote two thrillers as Lydia Hitchcock. Soon after that, Mills and Boon accepted her first novel for them, Falcon's Prey as Penny Jordan. However, for her present historical romance novels, she has adopted her mother's maiden-name to become Annie Groves. Almost 70m of her 167 Mills and Boon novels have been sold worldwide. 

As a widow, Penny Halsall lived in a neo-Georgian house in Nantwich, Cheshire, with her Alsatian Sheba and cat Posh. She worked from home, in her kitchen, surrounded by her pets, and welcomed interruptions from her friends and family. She passed away on 31 December 2011.",24 November 1946,31 December 2011,1946,2011
OL1393290A,,,,,,
OL7043916A,Jamie McGuire,,,,,
OL1385993A,Julia James,"I live in England with my family. Mills & Boon romances were my first 'grown up' books I read as a teenager, alongside Georgette Heyer and Daphne du Maurier - and I've been reading them ever since! 

I adore the English countryside - and the Welsh and the Scottish too, of course! It is a source of constant but ever-changing beauty, whatever the season, from the wild grandeur of the Caledonian Highlands to the cultivated farmland and woods of southern England, and a source of never-failing spiritual recharge. I love the history of these islands, from castles to cottages, and the rich tapestry of the changing historical periods, each with its own splendour and fascination.
But I love my European heritage, as well as my British heritage.",,,,
OL85306A,Laura Esquivel,,1950,,1950,
OL19597A,Nicholas Sparks,"Nicholas Sparks is one of the world’s most beloved storytellers. All of his books have been New York Times bestsellers, with over 105 million copies sold worldwide, in more than 50 languages, including over 75 million copies in the United States alone.

Sparks wrote one of his best-known stories, The Notebook, over a period of six months at age 28. It was published in 1996 and he followed with the novels Message in a Bottle (1998), A Walk to Remember (1999), The Rescue (2000), A Bend in the Road (2001), Nights in Rodanthe (2002), The Guardian (2003), The Wedding (2003), True Believer (2005) and its sequel, At First Sight (2005), Dear John (2006), The Choice (2007), The Lucky One (2008), The Last Song (2009), Safe Haven (2010), The Best of Me (2011), and The Longest Ride (2013) as well as the 2004 non-fiction memoir Three Weeks With My Brother, co-written with his brother Micah. His eighteenth novel, See Me, published on October 12, 2015. His newest book, Two by Two, will be published on October 4, 2016.

Film adaptations of Nicholas Sparks novels, including The Choice, The Longest Ride, The Best of Me, Safe Haven (on all of which he served as a producer), The Lucky One, Message in a Bottle, A Walk to Remember, The Notebook, Nights in Rodanthe, Dear John and The Last Song, have had a cumulative worldwide gross of over three-quarters of a billion dollars.

In 2012, Sparks and his publishing agent and creative partner Theresa Park, launched Nicholas Sparks Productions, with Park as President of Production.  A film version of The Guardian is currently in development, as is a film based on Football Hall of Famer Gale Sayers’s friendship with Chicago Bears teammate Brian Piccolo.

Sparks lives in North Carolina. He contributes to a variety of local and national charities, and is a major contributor to the Creative Writing Program (MFA) at the University of Notre Dame, where he provides scholarships, internships, and a fellowship annually. He co-founded The Epiphany School in New Bern, North Carolina in 2006. As a former full scholarship athlete (he still holds a track and field record at the University of Notre Dame) he also spent four years coaching track and field athletes at the local public high school. In 2009, the team he coached at New Bern High School set a World Junior Indoor Record in the 4 x400 meter, in New York. The record still stands. Click to watch the Runner’s World video with Nicholas.

The Nicholas Sparks Foundation, a 501(c)(3) nonprofit committed to improving cultural and international understanding through global education experiences for students of all ages was launched in 2011. Between the foundation, and the personal gifts of the Sparks family, more than $15 million dollars have been distributed to deserving charities, scholarship programs, and projects. Because the Sparks family covers all operational expenses of the foundation, 100% of donations are devoted to programs.",31 December 1965,,1965,
OL10324088A,Liz Tomforde,"Liz Tomforde writes sports romance novels that depict realistic and healthy relationships. Her books offer a mix of witty banter and real-life struggles. Her heroes are alpha yet vulnerable, and her heroines are strong. 

​Born and raised in Northern California, Liz is the youngest of five children. She loves all things romance, traveling, dogs, and hockey.

​When she's not traveling or writing, Liz can be found reading a good book or taking her Golden Retriever, Luke, on a hike in her hometown in Sonoma County, CA.",,,,
OL10621490A,Sophie Lark,,,,,
OL764048A,Gloria Bevan,"Gloria Isabel was born on 20 July 1911 in Kalgoorlie, Western Australia, Australia, the daughter of a mining engineer. At three, her family moved to New Zealand, and she considered herself a New Zealander. She lived in Auckland, from 1926 to 1936. On 1937, she married Thomas Henry Bevan, a building inspector, and they had three daughters: ?Typist, Watkin and Wallis.

After leaving school she worked as a typist, but she had been writing stories for as long as she could remember and felt ""there's a certain magic about writing even when the characters refuse to act the way I want them to."" She did not begin to be published until she was well into her fifties, first detective novels as Fiona Murray in 1965, and later under her married name, Gloria Bevan, she wrote 25 contemporary romance novels for Mills & Boon from 1969 to 1992, many of which are setting in her loved New Zealand. When not writing, she explored the many and varied exotic locations within reach of her suburban Auckland home. Her obvious love of her country and her particular talent for weaving interesting background information into her novels make her one of the more popular romance novelist. She met her fellow New Zealand romance writer Essie Summers.",20 July 1911,1998,1911,1998
OL2678446A,Jennifer Lynn Barnes,,,,,
OL2674707A,Lynsey Stevens,,,,,
OL1385655A,Susan Stephens,"Susan Stephens was a professional singer before meeting her husband on the tiny Mediterranean island of Malta.

In true romance style they met on Monday, became engaged on Friday and were married three months later. They are still very much in love, though Susan does not advise her three children to return home with a similar story as she may not take the news with the same fortitude as her own mother!

Susan had written several non-fiction books when fate took a hand. At a charity costume ball there was an after-dinner auction. One of the lots - 'Spend A Day With An Author' - had been donated by bestselling Mills & Boon author Penny Jordan. Susan's husband bought this lot, and Penny was to become not just a great friend, but a wonderful mentor who encouraged Susan to write romance.

Susan loves her family, her pets, her friends and her writing. She enjoys entertaining, travel and going to theatre and concerts. She reads voraciously, knits, cooks and plays the piano to relax, and can also be found throwing herself off mountains on a pair of skis or galloping through the countryside. 

Most of all Susan loves to hear from her readers all around the world!",1949,,1949,
OL7475890A,Dima Zales,,,,,
OL669108A,Sarah Holland,"Sarah Holland was born on November 1961 at Folkestone, Kent, England. She was the daughter of the best-selling novelist Sheila Holland, née Coates (well-know as Charlotte Lamb) and the classical biographer, ex-Times journalist Richard Holland. She has two sisters; poet Jane Holland and artist Charlotte Holland, and two brothers Michael Holland and David Holland; both musicians.

She suffered epilepsy briefly in her teens and had to leave Wanstead High School, London with a handful of O levels at sixteen. Subsequently educated at home by her parents, who owned a private library of over 50,000 books, she moved to the Isle of Man with them in 1978 and, in 1980, began training to write at her mother's side.

She has travelled extensively, writing and researching in 56 countries and 5 continents, many of which feature in her books. She has lived in England, the Isle of Man, Hong Kong, Australia, Holland, France and the United States (Texas and San Francisco).",November 1961,,1961,
OL218443A,Joan Smith,,1938,,1938,
OL10807187A,Neva Altaj,,,,,
OL7955772A,Montserrat Triviño Gonzalez,,,,,
OL228969A,Debbie Macomber,,1948-10-22,,1948,
OL711147A,Renee Roszel,,,,,
OL1385989A,Liz Fielding,"Liz Fielding was born on 1th June in a small country town in  Berkshire, England, UK. She has been reading since she was knee-high to a gnat. Her mother taught her, the way her mother taught her all the good things in life. Her mother read to her when she was little and then her mother bought her books of her own. Little Women, What Katy Did and Anne of Green Gables. She read them all until the covers fell off. 

Liz was a secretary and she met John, an engineer, while they were both working in  Lusaka, Zambia. They married and had travelled the world together before settling down to raise their family. When Ami, their first kid was born, her husband given her pearl earrings, made from pearls fished from the Bahrain pearl beds by her own husband. Later, they had other kid, Wil. She started writing when her children were small and her husband was working abroad. 

In 1982 was published her first romance, An Image of You,, was set in Kenya, in a place she knew well, and was plucked from the slush pile because the feisty feminist heroine made her editor laugh. Emotion touched with humor has been the hallmark of her books ever since. 

Liz lives in the house built by her husband in Wales, near Caermyrddyn, Merlin's Fort. The land is steeped in legend, the hilltops crowned with the remains of ancient castles. She lives in a tiny village that she loves and rarely leaves, keeping in touch with readers and friends through the magic of the Internet. In 2005, when she was nominated for a RITA Award from the Romance Writers of America, she made an exception and flew to Washington for the Romance Writers of America conference, where she had a great time playing tourist as well as meeting up with lots of old friends.",1 June,,,
OL4942596A,Teresa Medeiros,"New York Times bestseller Teresa Medeiros wrote her first novel at the age of twenty-one and has since gone on to win the hearts of both readers and critics. All of her books have been national bestsellers, featured on the New York Times, USA Today and Publishers Weekly bestseller lists. She currently has over 10 million books in print.

She is a seven-time Rita finalist, two-time PRISM winner, and two-time recipient of the Waldenbooks Award for bestselling fiction. Teresa lives in Kentucky with her husband and her cats, Buffy the Mouse Slayer and Willow Tum-Tum. Source: Goodreads.com
Before becoming a well-known author, she was a nurse. -Wikipedia","October 26, 1962",,1962,
OL811660A,Michelle Reid,"Michelle Reid was born and grew up in Manchester in the Northwest of England with her four siblings. Her mother always animated to her children to read. She is married, and continues to live in England, but she adores to travel by the Mediterranean and to visit different countries. She is a popular British writer of over 30 romance novels for Mills & Boon since 1988.",,,,
OL10423650A,Nikki St. Crowe,"Nikki St. Crowe is a USA Today and No. 1 Amazon Bestselling Author specializing in dark, spicy romantasy where the villain gets the girl and the girl gets the power.

Nikki considers the start of her professional career to be in the 4th grade when she placed 2nd in a Young Author’s Competition. Back then she crafted stories about magical mansions and lost treasure. She’s since ditched the treasure hunts, but she'll never give up on the magical mansions (or the morally grey men who inhabit them).",,,,
OL8478832A,Kat Singleton,,,,,
OL1344854A,Nerina Hilliard,"Norma Kathleen Hemming was born on September 1928 in Ilford, Essex, one  district of London, England, UK., she migrated to Australia in 1948. She the Australia's first significant female science fiction writer.

She wrote for local pulp magazine Thrills Incorporated and enthusiastically participated in the Australian fan scene. She was a founding member of the femme fan group Vertical Horizons, and wrote and acted for the SF theatrical group The Arcturian Players. She returned to international publishing in the late 1950s with stories in Nebula SF and New Worlds. She also wrote eight romance novels for Mills & Boon under the pseudonym of Nerina Hilliard, only one was published before her death, through these she had a long posthumous career, because her romances were published from 1958 to 1976, returning royalties to her estate for three decades. She passed away at the age of 31 of breast canceron 4 July 1960 in Melbourne, Victoria, Australia.",September 1928,4 July 1960,1928,1960
OL809096A,Jean S. MacLeod,"Jean Sutherland MacLeod was born in 20 January 1908 in Glasgow, Scotland, UK. She was the daughter of Elizabeth Allen and John MacLeod. Her father, who was a civil engineer, moved with jobs. Her education began at Bearsden Academy, continued in Swansea and ended in Newcastle-upon-Tyne. She moved to North Yorkshire, England to marry with Lionel Walton on 1 January 1935, an electricity board executive, who died in 1995. They had a son, David Walton, who died two years before her. She passed away on 11 April 2011 at 103 years.

MacLeod started by writing stories for the magazine The People's Friend, before she sold her first romance novel in 1936. She wrote contemporary romances. Most of them were set in her native Scotland, or in exotic places like Spain or the Caribbean, places that she visited for research. From 1948 to 1965, she also published under the pseudonym of Catherine Airlie. She published her last novel in 1996, a year after her husband’s death. She was a member of the Romantic Novelists' Association, where she met the mediatic writer Barbara Cartland, who was not too friendly.",20 January 1908,11 April 2011,1908,2011
OL884528A,Lisa Jane Smith,,1965,,1965,
OL1386198A,Kate Hardy,Award-winning romance author of True Love (Harlequin Romance) and Medical Romances for Harlequin Mills & Boon.,11 February 1966,,1966,
OL2943272A,Renee Raudman,,,,,
OL1385638A,Gina Wilkins,,,,,
OL688063A,Cathy Williams,"Cathy Williams was born in the island of Trinidad, the West Indies. She is a great believer in the power of perseverance as she had never written anything before (apart from school essays a lifetime ago!) and from the starting point of zero has now fulfilled her ambition to pursue this most enjoyable of careers. She would encourage any would-be writer to have faith and go for it! 

She has been writing Mills & Boon romances since 1990. Her hopes are to continue writing romantic fiction and providing those eternal tales of love and romance for which, she feels, we all strive. She derives inspiration from the hot, lazy tropical island of Trinidad, from the peaceful countryside of middle England and of course from her many friends who are a rich source of plots and are particularly garrulous when it comes to describing Mills & Boon heroes. It would seem, from their complaints that tall, dark and charismatic men are way too few and far between! 

She loves the beautiful Warwickshire countryside, where she lives with her husband and three children, Charlotte, Olivia and Emma and when not writing is hard pressed to find a moment's free time in between the millions of household chores, not to mention being a one woman taxi service for her daughters never-ending social lives.",,,,
OL3850984A,Jennifer Probst,"Jennifer Probst wrote her first book at twelve years old. She bound it in a folder, read it to her classmates, and hasn’t stopped writing since. She holds a masters in English Literature and lives in the beautiful Hudson Valley in upstate New York. Her family keeps her active, stressed, joyous, and sad her house will never be truly clean. Her passions include horse racing, Scrabble, rescue dogs, Italian food, and wine—not necessarily in that order.",,,,
OL7825177A,Rebecca Yarros,"Rebecca is a #1 New York Times, USA Today, Sunday Times, and Wall Street Journal bestselling author of over fifteen novels, including FOURTH WING, and is always ready to bring on the emotions. She's also the recipient of the Colorado Romance Writer’s Award of Excellence in New Adult for Eyes Turned Skyward from her Flight and Glory series.

She loves military heroes and has been blissfully married to hers for twenty-one years. She’s the mother of six children and lives in Colorado with her family, their stubborn English bulldog, feisty chinchillas, and Maine Coon cat who rules them all. Having fostered then adopted their youngest daughter, Rebecca is passionate about helping children in the foster system through her nonprofit, One October.",14 april 1981,,1981,
OL30207A,John Crowley,,1942,,1942,
OL27695A,Agatha Christie,"Agatha Mary Clarissa Miller was born in Torquay, Devon, in the United Kingdom, the daughter of a wealthy American stockbroker. Her father died when she was eleven years old. Her mother taught her at home, encouraging her to write at a very young age. At the age of 16, she went to Mrs. Dryden's finishing school in Paris to study singing and piano. In 1914, at age 24, she married Colonel Archibald Christie, an aviator in the Royal Flying Corps. While he went away to war, she worked as a nurse and wrote her first novel, The Mysterious Affair at Styles (1920), which wasn't published until four years later. When her husband came back from the war, they had a daughter. In 1928 she divorced her husband, who had been having an affair. In 1930, she married Sir Max Mallowan, an archaeologist and a Catholic. She was happy in the early years of her second marriage, and did not divorce her husband despite his many affairs. She travelled with her husband's job, and set several of her novels set in the Middle East. Most of her other novels were set in a fictionalized Devon, where she was born.

Agatha Christie is credited with developing the ""cozy style"" of mystery, which became popular in, and ultimately defined, the Golden Age of fiction in England in the 1920s and '30s, an age of which she is considered to have been Queen. In all, she wrote over 66 novels, numerous short stories and screenplays, and a series of romantic novels using the pen name Mary Westmacott. She was the single most popular mystery writer of all time. In 1971 she was made a Dame Commander of the Order of the British Empire.",15 September 1890,12 January 1976,1890,1976
OL1344858A,Margaret Malcolm,"Margaret Malcolm, née Margaret Lilian Graham was a British writer over 100 romance novels at Mills & Boon from 1940 to 1980.",17 January 1900,11 December 1980,1900,1980
OL27363A,Gabriel García Márquez,"Gabriel García Márquez is a Colombian novelist, short-story writer, screenwriter and journalist. García Márquez, affectionately known as ""Gabo"" throughout Latin America, is considered one of the most significant authors of the 20th century. In 1982, he was awarded the Nobel Prize in Literature. He pursued a self-directed education that resulted in his leaving law school for a career in journalism. From early on, he showed no inhibitions in his criticism of Colombian and foreign politics. In 1958, he married Mercedes Barcha; they have two sons, Rodrigo and Gonzalo.

He started as a journalist, and has written many acclaimed non-fiction works and short stories, but is best-known for his novels, such as One Hundred Years of Solitude (1967) and Love in the Time of Cholera (1985). His works have achieved significant critical acclaim and widespread commercial success, most notably for popularizing a literary style labeled as magical realism, which uses magical elements and events in otherwise ordinary and realistic situations. Some of his works are set in a fictional village called Macondo, and most of them express the theme of solitude. [1]

 [1]: http://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez

Source and more information: http://en.wikipedia.org/wiki/Gabriel_García_Márquez",1927-03-06,2014-04-17,1927,2014
OL2688764A,Marilyn Harris,"Harris was born on June 4, 1931, in Oklahoma City, Oklahoma, the daughter of John P., an oil executive, and Dora (nee Veal) Harris. Harris was educated in her home state, attending Cottey College from 1945 to 1951, then transferring to the University of Oklahoma, from which she received a bachelor of arts degree in 1953 and a master of arts degree in 1955.

Harris's first collection of short stories, King's Ex, was published by Doubleday in 1967. After that Harris proved a prolific author, publishing seventeen books, including novels, short stories, romance/ historical fiction and children's fiction in a twenty-year period from 1970 to 1989. These works, in addition to those listed above, include In the Midst of Earth (1969), The Peppersalt Land (1970), The Runaway's Diary (1971), The Conjurers (1974), Bledding Sorrow (1976), The Portent (1980), The Last Great Love (1981), Warrick (1985), Night Games (1987), and Lost and Found (1991). Harris's work has received a wide readership; in 1983, nine million of her books were in print, and her work has been translated into many languages, including French, German, Spanish, Portuguese, Polish, and Japanese. She has also been an author in residence at Oklahoma's Central State University.

She died January 18, 2002.
*Goodreads",1931,2002,1931,2002
OL39485A,Lucy Maud Montgomery,"Lucy Maud Montgomery CBE, (called ""Maud"" by family and friends) and publicly known as L.M. Montgomery was a Canadian author, best known for a series of novels beginning with *Anne of Green Gables*, published in 1908.

Once published, *Anne of Green Gables* was an immediate success. The central character, Anne, an orphaned girl who was adopted by a a sister and brother duo of Marilla and Matthew, made Montgomery famous in her lifetime and gave her an international following. The first novel was followed by a series of sequels with Anne as the central character. The novels became the basis for the highly acclaimed 1985 CBC television miniseries, *Anne of Green Gables* and several other television movies and programs, including Road to Avonlea, which ran in Canada and the U.S. from 1990-1996.She also wrote a couple of other short series of books; 'Chronicles of Avonlea', 'Further Chronicles of Avonlea', 'The Story Girl' (the sequel to it was 'The Golden Road') , 'The Blue Castle' are some of the other books that she has written..She also wrote a 3 book series namely, 'Emily of New Moon', 'Emily Climbs' and 'Emily's Quest' (a trilogy).She also wrote, 'Akin to Anne', 'Kilmeny of the Orchard', 'Jane of Lantern Hill' and 'The Blythe's' are quoted ..she also wrote short stories compilations..'At the Alter', a matrimonial tales collection and tales of the sea were some of the books of short stories she has written..A book that has not been followed by a sequel is 'Magic for Marigold'...Another book series by the famous Montgomery consists of 'Pat of Silver Bush'  and 'Mistress Pat'.",1874,1942.,1874,1942
OL715095A,Day Leclaire,,,,,
OL7404795A,Adam Silvera,,"June 7, 1990",,1990,
OL393647A,Mary Gabriel,,1955,,1955,
OL667523A,Mary Wibberley,,,,,
OL7940305A,Sonia Figueroa Martínez,,,,,
